Hour,SZA,UVI,Vitamin D
11.0,27.917,8.734,0.4304
11.0167,27.713,8.778,0.4327
11.0333,27.508,8.822,0.435
11.05,27.303,8.865,0.4373
11.0667,27.099,8.908,0.4395
11.0833,26.894,8.952,0.4418
11.1,26.69,8.994,0.444
11.1167,26.487,9.037,0.4462
11.1333,26.283,9.079,0.4485
11.15,26.08,9.115,0.4501
11.1667,25.876,9.164,0.4529
11.1833,25.673,9.205,0.455
11.2,25.471,9.247,0.4572
11.2167,25.268,9.287,0.4593
11.2333,25.066,9.328,0.4615
11.25,24.864,9.365,0.4633
11.2667,24.662,9.411,0.4657
11.2833,24.461,9.451,0.4678
11.3,24.26,9.487,0.4696
11.3167,24.059,9.527,0.4717
11.3333,23.858,9.57,0.4741
11.35,23.658,9.609,0.4761
11.3667,23.458,9.648,0.4781
11.3833,23.258,9.682,0.4797
11.4,23.059,9.725,0.4822
11.4167,22.86,9.764,0.4842
11.4333,22.661,9.801,0.4861
11.45,22.463,9.839,0.4881
11.4667,22.265,9.876,0.49
11.4833,22.067,9.913,0.492
11.5,21.87,9.95,0.4939
11.5167,21.673,9.981,0.4954
11.5333,21.477,10.02,0.4976
11.55,21.281,10.06,0.4993
11.5667,21.085,10.09,0.5013
11.5833,20.89,10.13,0.5032
11.6,20.695,10.16,0.505
11.6167,20.501,10.2,0.5068
11.6333,20.307,10.23,0.5086
11.65,20.114,10.27,0.5103
11.6667,19.921,10.3,0.5121
11.6833,19.73,10.33,0.5138
11.7,19.538,10.37,0.5155
11.7167,19.347,10.4,0.5172
11.7333,19.156,10.43,0.5188
11.75,18.966,10.46,0.5205
11.7667,18.777,10.49,0.5221
11.7833,18.589,10.53,0.5238
11.8,18.401,10.56,0.5254
11.8167,18.214,10.58,0.5268
11.8333,18.027,10.62,0.5285
11.85,17.841,10.65,0.53
11.8667,17.657,10.68,0.5316
11.8833,17.472,10.7,0.5331
11.9,17.289,10.73,0.5346
11.9167,17.106,10.76,0.536
11.9333,16.924,10.79,0.5375
11.95,16.743,10.82,0.5389
11.9667,16.564,10.84,0.5403
11.9833,16.385,10.87,0.5417
12.0,16.207,10.9,0.5431
12.0167,16.03,10.92,0.5444
12.0333,15.854,10.95,0.5457
12.05,15.679,10.97,0.547
12.0667,15.505,11.0,0.5483
12.0833,15.333,11.02,0.5496
12.1,15.161,11.05,0.5508
12.1167,14.991,11.07,0.552
12.1333,14.822,11.09,0.553
12.15,14.655,11.12,0.5544
12.1667,14.489,11.14,0.5556
12.1833,14.324,11.16,0.5567
12.2,14.161,11.18,0.5578
12.2167,14.0,11.2,0.5589
12.2333,13.839,11.22,0.56
12.25,13.681,11.24,0.561
12.2667,13.524,11.26,0.562
12.2833,13.37,11.28,0.5631
12.3,13.216,11.3,0.5634
12.3167,13.065,11.32,0.565
12.3333,12.916,11.34,0.566
12.35,12.769,11.36,0.5669
12.3667,12.624,11.37,0.5677
12.3833,12.481,11.38,0.5681
12.4,12.34,11.41,0.5695
12.4167,12.202,11.42,0.5703
12.4333,12.066,11.43,0.5708
12.45,11.932,11.45,0.5719
12.4667,11.801,11.47,0.5727
12.4833,11.673,11.48,0.5734
12.5,11.548,11.49,0.5735
12.5167,11.425,11.5,0.5738
12.5333,11.305,11.52,0.5754
12.55,11.189,11.54,0.5761
12.5667,11.075,11.55,0.5767
12.5833,10.965,11.56,0.5773
12.6,10.858,11.57,0.5779
12.6167,10.755,11.58,0.5785
12.6333,10.654,11.59,0.579
12.65,10.558,11.6,0.5795
12.6667,10.465,11.61,0.58
12.6833,10.377,11.62,0.5804
12.7,10.292,11.63,0.5809
12.7167,10.211,11.64,0.5813
12.7333,10.134,11.64,0.5816
12.75,10.062,11.65,0.582
12.7667,9.993,11.66,0.5823
12.7833,9.93,11.66,0.5826
12.8,9.87,11.67,0.5829
12.8167,9.815,11.67,0.5832
12.8333,9.765,11.68,0.5835
12.85,9.72,11.68,0.5837
12.8667,9.679,11.69,0.5839
12.8833,9.644,11.69,0.5841
12.9,9.613,11.69,0.5842
12.9167,9.587,11.69,0.5843
12.9333,9.566,11.7,0.5844
12.95,9.55,11.7,0.5845
12.9667,9.539,11.7,0.5845
12.9833,9.533,11.7,0.5846
13.0,9.532,11.7,0.5846
13.0167,9.537,11.7,0.5846
13.0333,9.546,11.7,0.5845
13.05,9.561,11.7,0.5844
13.0667,9.58,11.7,0.5844
13.0833,9.604,11.69,0.5842
13.1,9.634,11.69,0.5841
13.1167,9.668,11.69,0.5839
13.1333,9.707,11.68,0.5837
13.15,9.751,11.68,0.5835
13.1667,9.8,11.67,0.5833
13.1833,9.853,11.67,0.583
13.2,9.911,11.66,0.5827
13.2167,9.974,11.66,0.5824
13.2333,10.041,11.65,0.5821
13.25,10.112,11.65,0.5818
13.2667,10.187,11.64,0.5814
13.2833,10.267,11.63,0.581
13.3,10.351,11.62,0.5806
13.3167,10.438,11.61,0.5801
13.3333,10.53,11.6,0.5796
13.35,10.625,11.59,0.5791
13.3667,10.724,11.58,0.5786
13.3833,10.826,11.57,0.5781
13.4,10.932,11.56,0.5775
13.4167,11.042,11.55,0.5769
13.4333,11.154,11.54,0.5763
13.45,11.27,11.53,0.5756
13.4667,11.389,11.5,0.5744
13.4833,11.51,11.49,0.5733
13.5,11.635,11.49,0.5736
13.5167,11.763,11.47,0.5729
13.5333,11.893,11.46,0.5721
13.55,12.025,11.44,0.5711
13.5667,12.16,11.43,0.5705
13.5833,12.298,11.41,0.5697
13.6,12.438,11.39,0.5685
13.6167,12.58,11.38,0.5679
13.6333,12.725,11.36,0.5671
13.65,12.871,11.35,0.5662
13.6667,13.02,11.33,0.5653
13.6833,13.171,11.3,0.5636
13.7,13.323,11.29,0.5634
13.7167,13.478,11.27,0.5623
13.7333,13.634,11.25,0.5614
13.75,13.792,11.23,0.5603
