hora,sza,uv,pre vitamina D
11.0000,63.537,1.390E+00,5.158E-02
11.0167,63.423,1.403E+00,5.219E-02
11.0333,63.310,1.416E+00,5.280E-02
11.0500,63.198,1.429E+00,5.340E-02
11.0667,63.086,1.441E+00,5.401E-02
11.0833,62.975,1.454E+00,5.461E-02
11.1000,62.865,1.467E+00,5.522E-02
11.1167,62.755,1.480E+00,5.583E-02
11.1333,62.646,1.493E+00,5.643E-02
11.1500,62.538,1.505E+00,5.704E-02
11.1667,62.431,1.518E+00,5.765E-02
11.1833,62.324,1.531E+00,5.825E-02
11.2000,62.218,1.544E+00,5.886E-02
11.2167,62.113,1.556E+00,5.947E-02
11.2333,62.008,1.569E+00,6.007E-02
11.2500,61.905,1.581E+00,6.068E-02
11.2667,61.802,1.594E+00,6.128E-02
11.2833,61.699,1.607E+00,6.188E-02
11.3000,61.598,1.619E+00,6.248E-02
11.3167,61.497,1.632E+00,6.308E-02
11.3333,61.397,1.644E+00,6.368E-02
11.3500,61.298,1.656E+00,6.428E-02
11.3667,61.199,1.669E+00,6.488E-02
11.3833,61.102,1.681E+00,6.547E-02
11.4000,61.005,1.693E+00,6.607E-02
11.4167,60.908,1.706E+00,6.666E-02
11.4333,60.813,1.718E+00,6.725E-02
11.4500,60.719,1.730E+00,6.784E-02
11.4667,60.625,1.742E+00,6.842E-02
11.4833,60.532,1.754E+00,6.901E-02
11.5000,60.439,1.766E+00,6.959E-02
11.5167,60.348,1.778E+00,7.017E-02
11.5333,60.257,1.790E+00,7.074E-02
11.5500,60.168,1.801E+00,7.132E-02
11.5667,60.079,1.813E+00,7.189E-02
11.5833,59.990,1.825E+00,7.246E-02
11.6000,59.903,1.836E+00,7.303E-02
11.6167,59.817,1.848E+00,7.359E-02
11.6333,59.731,1.859E+00,7.415E-02
11.6500,59.646,1.871E+00,7.471E-02
11.6667,59.562,1.882E+00,7.526E-02
11.6833,59.479,1.893E+00,7.582E-02
11.7000,59.396,1.904E+00,7.636E-02
11.7167,59.315,1.915E+00,7.691E-02
11.7333,59.234,1.926E+00,7.745E-02
11.7500,59.154,1.937E+00,7.799E-02
11.7667,59.075,1.948E+00,7.852E-02
11.7833,58.997,1.959E+00,7.905E-02
11.8000,58.920,1.969E+00,7.958E-02
11.8167,58.843,1.980E+00,8.010E-02
11.8333,58.768,1.990E+00,8.062E-02
11.8500,58.693,2.001E+00,8.113E-02
11.8667,58.619,2.011E+00,8.164E-02
11.8833,58.547,2.021E+00,8.215E-02
11.9000,58.475,2.031E+00,8.265E-02
11.9167,58.403,2.041E+00,8.314E-02
11.9333,58.333,2.051E+00,8.363E-02
11.9500,58.264,2.061E+00,8.412E-02
11.9667,58.195,2.071E+00,8.460E-02
11.9833,58.128,2.081E+00,8.508E-02
12.0000,58.061,2.090E+00,8.555E-02
12.0167,57.995,2.099E+00,8.602E-02
12.0333,57.930,2.109E+00,8.648E-02
12.0500,57.866,2.118E+00,8.694E-02
12.0667,57.803,2.127E+00,8.739E-02
12.0833,57.741,2.136E+00,8.784E-02
12.1000,57.680,2.145E+00,8.828E-02
12.1167,57.620,2.153E+00,8.871E-02
12.1333,57.560,2.162E+00,8.914E-02
12.1500,57.502,2.171E+00,8.957E-02
12.1667,57.444,2.179E+00,8.999E-02
12.1833,57.388,2.187E+00,9.040E-02
12.2000,57.332,2.195E+00,9.081E-02
12.2167,57.278,2.203E+00,9.121E-02
12.2333,57.224,2.211E+00,9.160E-02
12.2500,57.171,2.219E+00,9.199E-02
12.2667,57.119,2.227E+00,9.238E-02
12.2833,57.068,2.234E+00,9.275E-02
12.3000,57.018,2.242E+00,9.312E-02
12.3167,56.969,2.249E+00,9.349E-02
12.3333,56.921,2.256E+00,9.385E-02
12.3500,56.874,2.263E+00,9.420E-02
12.3667,56.828,2.270E+00,9.454E-02
12.3833,56.783,2.277E+00,9.488E-02
12.4000,56.739,2.283E+00,9.521E-02
12.4167,56.695,2.290E+00,9.553E-02
12.4333,56.653,2.296E+00,9.585E-02
12.4500,56.612,2.302E+00,9.617E-02
12.4667,56.571,2.308E+00,9.647E-02
12.4833,56.532,2.314E+00,9.677E-02
12.5000,56.494,2.320E+00,9.706E-02
12.5167,56.456,2.326E+00,9.734E-02
12.5333,56.420,2.331E+00,9.762E-02
12.5500,56.384,2.336E+00,9.789E-02
12.5667,56.350,2.342E+00,9.815E-02
12.5833,56.317,2.347E+00,9.840E-02
12.6000,56.284,2.352E+00,9.865E-02
12.6167,56.253,2.356E+00,9.889E-02
12.6333,56.222,2.361E+00,9.913E-02
12.6500,56.193,2.366E+00,9.935E-02
12.6667,56.164,2.370E+00,9.957E-02
12.6833,56.137,2.374E+00,9.978E-02
12.7000,56.111,2.378E+00,9.999E-02
12.7167,56.085,2.382E+00,1.002E-01
12.7333,56.060,2.386E+00,1.004E-01
12.7500,56.037,2.389E+00,1.006E-01
12.7667,56.015,2.393E+00,1.007E-01
12.7833,55.993,2.396E+00,1.009E-01
12.8000,55.973,2.399E+00,1.011E-01
12.8167,55.953,2.402E+00,1.012E-01
12.8333,55.935,2.405E+00,1.013E-01
12.8500,55.917,2.408E+00,1.015E-01
12.8667,55.901,2.410E+00,1.016E-01
12.8833,55.886,2.413E+00,1.017E-01
12.9000,55.871,2.415E+00,1.018E-01
12.9167,55.858,2.417E+00,1.019E-01
12.9333,55.846,2.419E+00,1.020E-01
12.9500,55.834,2.420E+00,1.021E-01
12.9667,55.824,2.422E+00,1.022E-01
12.9833,55.815,2.423E+00,1.023E-01
13.0000,55.806,2.425E+00,1.023E-01
13.0167,55.799,2.426E+00,1.024E-01
13.0333,55.793,2.427E+00,1.024E-01
13.0500,55.788,2.428E+00,1.025E-01
13.0667,55.784,2.428E+00,1.025E-01
13.0833,55.780,2.429E+00,1.025E-01
13.1000,55.778,2.429E+00,1.026E-01
13.1167,55.777,2.429E+00,1.026E-01
13.1333,55.777,2.429E+00,1.026E-01
13.1500,55.778,2.429E+00,1.026E-01
13.1667,55.780,2.429E+00,1.025E-01
13.1833,55.783,2.428E+00,1.025E-01
13.2000,55.787,2.428E+00,1.025E-01
13.2167,55.792,2.427E+00,1.025E-01
13.2333,55.798,2.426E+00,1.024E-01
13.2500,55.805,2.425E+00,1.024E-01
13.2667,55.813,2.424E+00,1.023E-01
13.2833,55.822,2.422E+00,1.022E-01
13.3000,55.832,2.421E+00,1.021E-01
13.3167,55.843,2.419E+00,1.021E-01
13.3333,55.855,2.417E+00,1.020E-01
13.3500,55.869,2.415E+00,1.019E-01
13.3667,55.883,2.413E+00,1.017E-01
13.3833,55.898,2.411E+00,1.016E-01
13.4000,55.914,2.408E+00,1.015E-01
13.4167,55.931,2.406E+00,1.014E-01
13.4333,55.950,2.403E+00,1.012E-01
13.4500,55.969,2.400E+00,1.011E-01
13.4667,55.989,2.397E+00,1.009E-01
13.4833,56.010,2.393E+00,1.008E-01
13.5000,56.032,2.390E+00,1.006E-01
13.5167,56.056,2.386E+00,1.004E-01
13.5333,56.080,2.383E+00,1.002E-01
13.5500,56.105,2.379E+00,1.000E-01
13.5667,56.131,2.375E+00,9.983E-02
13.5833,56.159,2.371E+00,9.962E-02
13.6000,56.187,2.366E+00,9.940E-02
13.6167,56.216,2.362E+00,9.917E-02
13.6333,56.247,2.357E+00,9.894E-02
13.6500,56.278,2.353E+00,9.870E-02
13.6667,56.310,2.348E+00,9.846E-02
13.6833,56.343,2.343E+00,9.820E-02
13.7000,56.377,2.338E+00,9.794E-02
13.7167,56.413,2.332E+00,9.767E-02
13.7333,56.449,2.327E+00,9.740E-02
13.7500,56.486,2.321E+00,9.712E-02
13.7667,56.524,2.315E+00,9.683E-02
13.7833,56.563,2.309E+00,9.653E-02
13.8000,56.603,2.303E+00,9.623E-02
13.8167,56.645,2.297E+00,9.592E-02
13.8333,56.686,2.291E+00,9.560E-02
13.8500,56.729,2.285E+00,9.528E-02
13.8667,56.774,2.278E+00,9.495E-02
13.8833,56.819,2.271E+00,9.461E-02
13.9000,56.865,2.264E+00,9.427E-02
13.9167,56.912,2.257E+00,9.391E-02
13.9333,56.959,2.250E+00,9.356E-02
13.9500,57.008,2.243E+00,9.320E-02
13.9667,57.058,2.236E+00,9.283E-02
13.9833,57.109,2.228E+00,9.245E-02
14.0000,57.160,2.221E+00,9.207E-02
