hora,sza,uv,pre vitamina D
11.0000,40.497,5.964E+00,2.875E-01
11.0167,40.320,6.004E+00,2.897E-01
11.0333,40.142,6.047E+00,2.919E-01
11.0500,39.965,6.088E+00,2.940E-01
11.0667,39.788,6.130E+00,2.962E-01
11.0833,39.612,6.169E+00,2.983E-01
11.1000,39.436,6.212E+00,3.006E-01
11.1167,39.262,6.253E+00,3.027E-01
11.1333,39.088,6.294E+00,3.049E-01
11.1500,38.914,6.335E+00,3.070E-01
11.1667,38.741,6.376E+00,3.092E-01
11.1833,38.568,6.417E+00,3.113E-01
11.2000,38.396,6.455E+00,3.132E-01
11.2167,38.225,6.498E+00,3.155E-01
11.2333,38.055,6.538E+00,3.176E-01
11.2500,37.884,6.578E+00,3.197E-01
11.2667,37.715,6.618E+00,3.219E-01
11.2833,37.546,6.658E+00,3.239E-01
11.3000,37.378,6.698E+00,3.260E-01
11.3167,37.211,6.737E+00,3.281E-01
11.3333,37.044,6.777E+00,3.302E-01
11.3500,36.877,6.815E+00,3.322E-01
11.3667,36.712,6.855E+00,3.343E-01
11.3833,36.547,6.894E+00,3.363E-01
11.4000,36.384,6.932E+00,3.383E-01
11.4167,36.220,6.971E+00,3.404E-01
11.4333,36.057,7.007E+00,3.423E-01
11.4500,35.895,7.048E+00,3.444E-01
11.4667,35.734,7.086E+00,3.464E-01
11.4833,35.574,7.124E+00,3.483E-01
11.5000,35.415,7.161E+00,3.503E-01
11.5167,35.256,7.199E+00,3.523E-01
11.5333,35.098,7.236E+00,3.542E-01
11.5500,34.940,7.273E+00,3.562E-01
11.5667,34.784,7.310E+00,3.581E-01
11.5833,34.629,7.346E+00,3.600E-01
11.6000,34.474,7.383E+00,3.619E-01
11.6167,34.320,7.417E+00,3.637E-01
11.6333,34.167,7.455E+00,3.657E-01
11.6500,34.015,7.490E+00,3.675E-01
11.6667,33.863,7.526E+00,3.694E-01
11.6833,33.714,7.561E+00,3.712E-01
11.7000,33.564,7.596E+00,3.730E-01
11.7167,33.416,7.630E+00,3.749E-01
11.7333,33.268,7.664E+00,3.766E-01
11.7500,33.121,7.699E+00,3.784E-01
11.7667,32.977,7.733E+00,3.802E-01
11.7833,32.832,7.767E+00,3.820E-01
11.8000,32.688,7.800E+00,3.837E-01
11.8167,32.545,7.833E+00,3.855E-01
11.8333,32.403,7.866E+00,3.872E-01
11.8500,32.262,7.899E+00,3.889E-01
11.8667,32.124,7.931E+00,3.905E-01
11.8833,31.985,7.963E+00,3.922E-01
11.9000,31.847,7.995E+00,3.939E-01
11.9167,31.711,8.026E+00,3.955E-01
11.9333,31.575,8.058E+00,3.972E-01
11.9500,31.441,8.088E+00,3.988E-01
11.9667,31.309,8.119E+00,4.003E-01
11.9833,31.177,8.149E+00,4.019E-01
12.0000,31.046,8.179E+00,4.035E-01
12.0167,30.916,8.209E+00,4.050E-01
12.0333,30.788,8.236E+00,4.065E-01
12.0500,30.662,8.266E+00,4.081E-01
12.0667,30.536,8.296E+00,4.096E-01
12.0833,30.411,8.324E+00,4.110E-01
12.1000,30.287,8.350E+00,4.124E-01
12.1167,30.165,8.380E+00,4.140E-01
12.1333,30.044,8.407E+00,4.154E-01
12.1500,29.925,8.433E+00,4.168E-01
12.1667,29.807,8.461E+00,4.182E-01
12.1833,29.690,8.487E+00,4.196E-01
12.2000,29.574,8.513E+00,4.209E-01
12.2167,29.460,8.539E+00,4.222E-01
12.2333,29.347,8.564E+00,4.236E-01
12.2500,29.236,8.587E+00,4.247E-01
12.2667,29.126,8.614E+00,4.261E-01
12.2833,29.017,8.633E+00,4.270E-01
12.3000,28.910,8.662E+00,4.286E-01
12.3167,28.804,8.685E+00,4.299E-01
12.3333,28.701,8.708E+00,4.311E-01
12.3500,28.598,8.731E+00,4.323E-01
12.3667,28.497,8.753E+00,4.334E-01
12.3833,28.397,8.776E+00,4.346E-01
12.4000,28.299,8.797E+00,4.357E-01
12.4167,28.202,8.819E+00,4.368E-01
12.4333,28.108,8.839E+00,4.379E-01
12.4500,28.015,8.860E+00,4.390E-01
12.4667,27.923,8.877E+00,4.398E-01
12.4833,27.832,8.896E+00,4.408E-01
12.5000,27.744,8.919E+00,4.420E-01
12.5167,27.658,8.938E+00,4.430E-01
12.5333,27.573,8.957E+00,4.440E-01
12.5500,27.489,8.975E+00,4.449E-01
12.5667,27.407,8.993E+00,4.459E-01
12.5833,27.327,9.010E+00,4.468E-01
12.6000,27.248,9.027E+00,4.477E-01
12.6167,27.173,9.043E+00,4.485E-01
12.6333,27.098,9.060E+00,4.493E-01
12.6500,27.025,9.075E+00,4.502E-01
12.6667,26.953,9.091E+00,4.510E-01
12.6833,26.884,9.102E+00,4.516E-01
12.7000,26.816,9.120E+00,4.525E-01
12.7167,26.751,9.130E+00,4.528E-01
12.7333,26.687,9.148E+00,4.539E-01
12.7500,26.625,9.161E+00,4.546E-01
12.7667,26.565,9.174E+00,4.553E-01
12.7833,26.506,9.187E+00,4.559E-01
12.8000,26.451,9.198E+00,4.566E-01
12.8167,26.397,9.210E+00,4.572E-01
12.8333,26.344,9.221E+00,4.577E-01
12.8500,26.293,9.231E+00,4.583E-01
12.8667,26.244,9.242E+00,4.588E-01
12.8833,26.198,9.252E+00,4.594E-01
12.9000,26.154,9.262E+00,4.598E-01
12.9167,26.111,9.271E+00,4.603E-01
12.9333,26.070,9.279E+00,4.608E-01
12.9500,26.031,9.288E+00,4.612E-01
12.9667,25.995,9.295E+00,4.616E-01
12.9833,25.960,9.302E+00,4.620E-01
13.0000,25.928,9.309E+00,4.623E-01
13.0167,25.898,9.316E+00,4.627E-01
13.0333,25.869,9.322E+00,4.630E-01
13.0500,25.842,9.328E+00,4.633E-01
13.0667,25.818,9.333E+00,4.635E-01
13.0833,25.797,9.337E+00,4.638E-01
13.1000,25.776,9.342E+00,4.640E-01
13.1167,25.758,9.345E+00,4.642E-01
13.1333,25.741,9.349E+00,4.644E-01
13.1500,25.727,9.352E+00,4.645E-01
13.1667,25.715,9.354E+00,4.647E-01
13.1833,25.706,9.356E+00,4.647E-01
13.2000,25.698,9.358E+00,4.648E-01
13.2167,25.692,9.359E+00,4.649E-01
13.2333,25.689,9.360E+00,4.649E-01
13.2500,25.687,9.360E+00,4.650E-01
13.2667,25.689,9.360E+00,4.649E-01
13.2833,25.691,9.359E+00,4.649E-01
13.3000,25.696,9.358E+00,4.649E-01
13.3167,25.702,9.357E+00,4.648E-01
13.3333,25.711,9.355E+00,4.647E-01
13.3500,25.722,9.353E+00,4.646E-01
13.3667,25.737,9.350E+00,4.644E-01
13.3833,25.752,9.347E+00,4.642E-01
13.4000,25.769,9.343E+00,4.641E-01
13.4167,25.788,9.339E+00,4.639E-01
13.4333,25.809,9.335E+00,4.636E-01
13.4500,25.832,9.330E+00,4.634E-01
13.4667,25.859,9.324E+00,4.631E-01
13.4833,25.887,9.318E+00,4.628E-01
13.5000,25.916,9.312E+00,4.624E-01
13.5167,25.948,9.305E+00,4.621E-01
13.5333,25.981,9.298E+00,4.617E-01
13.5500,26.018,9.290E+00,4.613E-01
13.5667,26.056,9.282E+00,4.609E-01
13.5833,26.096,9.274E+00,4.605E-01
13.6000,26.137,9.265E+00,4.600E-01
13.6167,26.181,9.256E+00,4.595E-01
13.6333,26.226,9.246E+00,4.590E-01
13.6500,26.275,9.235E+00,4.585E-01
13.6667,26.325,9.225E+00,4.579E-01
13.6833,26.376,9.214E+00,4.574E-01
13.7000,26.430,9.203E+00,4.568E-01
13.7167,26.485,9.191E+00,4.562E-01
13.7333,26.542,9.179E+00,4.555E-01
13.7500,26.603,9.166E+00,4.549E-01
13.7667,26.664,9.153E+00,4.542E-01
13.7833,26.727,9.134E+00,4.531E-01
13.8000,26.792,9.125E+00,4.528E-01
13.8167,26.858,9.106E+00,4.518E-01
13.8333,26.928,9.096E+00,4.512E-01
13.8500,26.998,9.081E+00,4.504E-01
13.8667,27.070,9.065E+00,4.496E-01
13.8833,27.144,9.049E+00,4.488E-01
13.9000,27.220,9.033E+00,4.480E-01
13.9167,27.297,9.016E+00,4.471E-01
13.9333,27.378,8.999E+00,4.462E-01
13.9500,27.458,8.981E+00,4.453E-01
13.9667,27.541,8.963E+00,4.443E-01
13.9833,27.625,8.945E+00,4.434E-01
14.0000,27.711,8.926E+00,4.424E-01
14.0167,27.800,8.901E+00,4.411E-01
14.0333,27.889,8.881E+00,4.399E-01
14.0500,27.980,8.867E+00,4.393E-01
14.0667,28.073,8.847E+00,4.383E-01
14.0833,28.167,8.826E+00,4.372E-01
14.1000,28.263,8.805E+00,4.361E-01
14.1167,28.361,8.783E+00,4.350E-01
14.1333,28.460,8.761E+00,4.338E-01
14.1500,28.560,8.739E+00,4.327E-01
14.1667,28.662,8.717E+00,4.315E-01
14.1833,28.766,8.694E+00,4.303E-01
14.2000,28.870,8.670E+00,4.291E-01
14.2167,28.978,8.636E+00,4.271E-01
14.2333,29.086,8.622E+00,4.266E-01
14.2500,29.195,8.596E+00,4.252E-01
14.2667,29.306,8.573E+00,4.240E-01
14.2833,29.418,8.548E+00,4.227E-01
14.3000,29.533,8.522E+00,4.214E-01
14.3167,29.647,8.496E+00,4.200E-01
14.3333,29.764,8.470E+00,4.187E-01
14.3500,29.881,8.442E+00,4.172E-01
14.3667,30.000,8.417E+00,4.159E-01
14.3833,30.120,8.385E+00,4.142E-01
14.4000,30.243,8.362E+00,4.130E-01
14.4167,30.365,8.334E+00,4.116E-01
14.4333,30.489,8.304E+00,4.100E-01
14.4500,30.615,8.277E+00,4.086E-01
14.4667,30.741,8.247E+00,4.071E-01
14.4833,30.869,8.219E+00,4.056E-01
14.5000,30.999,8.189E+00,4.040E-01
14.5167,31.129,8.158E+00,4.025E-01
14.5333,31.260,8.130E+00,4.009E-01
14.5500,31.392,8.099E+00,3.993E-01
14.5667,31.526,8.069E+00,3.977E-01
14.5833,31.662,8.037E+00,3.961E-01
14.6000,31.798,8.006E+00,3.945E-01
14.6167,31.934,7.974E+00,3.928E-01
14.6333,32.072,7.943E+00,3.911E-01
14.6500,32.211,7.910E+00,3.895E-01
14.6667,32.351,7.878E+00,3.878E-01
14.6833,32.494,7.845E+00,3.860E-01
14.7000,32.636,7.811E+00,3.842E-01
14.7167,32.779,7.779E+00,3.826E-01
14.7333,32.923,7.745E+00,3.808E-01
14.7500,33.068,7.711E+00,3.791E-01
14.7667,33.215,7.677E+00,3.773E-01
14.7833,33.362,7.643E+00,3.755E-01
14.8000,33.510,7.608E+00,3.737E-01
14.8167,33.659,7.573E+00,3.719E-01
14.8333,33.809,7.538E+00,3.700E-01
14.8500,33.960,7.503E+00,3.682E-01
14.8667,34.113,7.467E+00,3.663E-01
14.8833,34.265,7.430E+00,3.643E-01
14.9000,34.418,7.395E+00,3.626E-01
14.9167,34.573,7.359E+00,3.607E-01
14.9333,34.728,7.323E+00,3.587E-01
14.9500,34.883,7.280E+00,3.563E-01
14.9667,35.041,7.249E+00,3.549E-01
14.9833,35.199,7.212E+00,3.529E-01
15.0000,35.357,7.171E+00,3.508E-01
15.0167,35.516,7.137E+00,3.490E-01
15.0333,35.676,7.099E+00,3.471E-01
15.0500,35.838,7.061E+00,3.451E-01
15.0667,36.000,7.023E+00,3.431E-01
15.0833,36.162,6.981E+00,3.408E-01
15.1000,36.325,6.946E+00,3.390E-01
15.1167,36.488,6.908E+00,3.370E-01
15.1333,36.653,6.869E+00,3.350E-01
15.1500,36.819,6.829E+00,3.329E-01
15.1667,36.985,6.787E+00,3.307E-01
15.1833,37.151,6.751E+00,3.288E-01
15.2000,37.318,6.711E+00,3.267E-01
15.2167,37.486,6.671E+00,3.247E-01
15.2333,37.654,6.632E+00,3.226E-01
15.2500,37.824,6.592E+00,3.205E-01
15.2667,37.994,6.552E+00,3.184E-01
15.2833,38.164,6.511E+00,3.163E-01
15.3000,38.335,6.471E+00,3.141E-01
15.3167,38.507,6.429E+00,3.119E-01
15.3333,38.680,6.390E+00,3.099E-01
15.3500,38.853,6.349E+00,3.077E-01
15.3667,39.026,6.308E+00,3.056E-01
15.3833,39.200,6.267E+00,3.035E-01
15.4000,39.375,6.226E+00,3.013E-01
15.4167,39.550,6.181E+00,2.988E-01
15.4333,39.727,6.143E+00,2.970E-01
15.4500,39.903,6.102E+00,2.948E-01
15.4667,40.080,6.061E+00,2.926E-01
15.4833,40.257,6.019E+00,2.904E-01
15.5000,40.434,5.978E+00,2.882E-01
15.5167,40.614,5.934E+00,2.860E-01
15.5333,40.793,5.893E+00,2.838E-01
15.5500,40.972,5.852E+00,2.817E-01
15.5667,41.152,5.810E+00,2.795E-01
15.5833,41.332,5.768E+00,2.773E-01
15.6000,41.513,5.726E+00,2.751E-01
15.6167,41.695,5.684E+00,2.728E-01
15.6333,41.877,5.642E+00,2.706E-01
15.6500,42.059,5.599E+00,2.684E-01
15.6667,42.241,5.557E+00,2.662E-01
15.6833,42.425,5.515E+00,2.640E-01
15.7000,42.608,5.473E+00,2.617E-01
15.7167,42.793,5.430E+00,2.595E-01
15.7333,42.977,5.388E+00,2.573E-01
15.7500,43.162,5.343E+00,2.549E-01
15.7667,43.347,5.303E+00,2.528E-01
15.7833,43.533,5.261E+00,2.506E-01
15.8000,43.720,5.216E+00,2.483E-01
15.8167,43.906,5.176E+00,2.462E-01
15.8333,44.093,5.133E+00,2.439E-01
15.8500,44.280,5.091E+00,2.417E-01
15.8667,44.468,5.048E+00,2.395E-01
15.8833,44.656,5.006E+00,2.373E-01
15.9000,44.845,4.963E+00,2.350E-01
15.9167,45.034,4.919E+00,2.326E-01
15.9333,45.223,4.879E+00,2.306E-01
15.9500,45.413,4.837E+00,2.284E-01
15.9667,45.602,4.794E+00,2.262E-01
15.9833,45.792,4.751E+00,2.238E-01
16.0000,45.984,4.710E+00,2.217E-01
16.0167,46.175,4.668E+00,2.195E-01
16.0333,46.366,4.626E+00,2.173E-01
16.0500,46.557,4.583E+00,2.151E-01
16.0667,46.749,4.542E+00,2.129E-01
16.0833,46.942,4.499E+00,2.107E-01
16.1000,47.135,4.456E+00,2.084E-01
16.1167,47.327,4.416E+00,2.063E-01
16.1333,47.520,4.374E+00,2.041E-01
16.1500,47.714,4.333E+00,2.020E-01
16.1667,47.907,4.291E+00,1.998E-01
16.1833,48.102,4.249E+00,1.976E-01
16.2000,48.297,4.208E+00,1.955E-01
16.2167,48.491,4.167E+00,1.933E-01
16.2333,48.686,4.125E+00,1.911E-01
16.2500,48.881,4.084E+00,1.890E-01
16.2667,49.077,4.043E+00,1.868E-01
16.2833,49.273,4.002E+00,1.846E-01
16.3000,49.469,3.962E+00,1.826E-01
16.3167,49.665,3.921E+00,1.805E-01
16.3333,49.861,3.880E+00,1.783E-01
16.3500,50.058,3.840E+00,1.762E-01
16.3667,50.256,3.799E+00,1.741E-01
16.3833,50.453,3.759E+00,1.720E-01
16.4000,50.650,3.718E+00,1.699E-01
16.4167,50.848,3.679E+00,1.679E-01
16.4333,51.046,3.640E+00,1.658E-01
16.4500,51.244,3.600E+00,1.637E-01
16.4667,51.443,3.560E+00,1.617E-01
16.4833,51.642,3.521E+00,1.596E-01
16.5000,51.840,3.482E+00,1.576E-01
16.5167,52.039,3.443E+00,1.556E-01
16.5333,52.239,3.404E+00,1.536E-01
16.5500,52.439,3.365E+00,1.515E-01
16.5667,52.639,3.326E+00,1.495E-01
16.5833,52.839,3.288E+00,1.476E-01
16.6000,53.039,3.250E+00,1.456E-01
16.6167,53.239,3.212E+00,1.436E-01
16.6333,53.439,3.174E+00,1.417E-01
16.6500,53.641,3.136E+00,1.397E-01
16.6667,53.842,3.098E+00,1.378E-01
16.6833,54.043,3.061E+00,1.358E-01
16.7000,54.244,3.024E+00,1.339E-01
16.7167,54.445,2.987E+00,1.320E-01
16.7333,54.647,2.950E+00,1.301E-01
16.7500,54.850,2.913E+00,1.282E-01
16.7667,55.052,2.877E+00,1.264E-01
16.7833,55.254,2.841E+00,1.245E-01
16.8000,55.456,2.805E+00,1.227E-01
16.8167,55.658,2.769E+00,1.208E-01
16.8333,55.862,2.733E+00,1.190E-01
16.8500,56.065,2.698E+00,1.172E-01
16.8667,56.268,2.663E+00,1.154E-01
16.8833,56.471,2.628E+00,1.136E-01
16.9000,56.674,2.593E+00,1.118E-01
16.9167,56.877,2.558E+00,1.101E-01
16.9333,57.082,2.524E+00,1.083E-01
16.9500,57.286,2.490E+00,1.066E-01
16.9667,57.490,2.456E+00,1.049E-01
16.9833,57.694,2.422E+00,1.032E-01
17.0000,57.898,2.389E+00,1.015E-01
17.0167,58.103,2.356E+00,9.980E-02
17.0333,58.307,2.323E+00,9.814E-02
17.0500,58.512,2.290E+00,9.649E-02
17.0667,58.717,2.257E+00,9.485E-02
17.0833,58.921,2.225E+00,9.323E-02
17.1000,59.126,2.193E+00,9.163E-02
17.1167,59.332,2.161E+00,9.002E-02
17.1333,59.538,2.130E+00,8.845E-02
17.1500,59.743,2.098E+00,8.688E-02
17.1667,59.948,2.067E+00,8.533E-02
17.1833,60.154,2.036E+00,8.380E-02
17.2000,60.360,2.006E+00,8.228E-02
17.2167,60.566,1.975E+00,8.076E-02
17.2333,60.772,1.945E+00,7.927E-02
17.2500,60.978,1.915E+00,7.780E-02
17.2667,61.184,1.886E+00,7.634E-02
17.2833,61.391,1.857E+00,7.489E-02
17.3000,61.598,1.827E+00,7.346E-02
17.3167,61.804,1.799E+00,7.204E-02
17.3333,62.011,1.770E+00,7.064E-02
17.3500,62.218,1.742E+00,6.926E-02
