hora,sza,uv,pre vitamina D
11.0000,36.038,7.481E+00,3.682E-01
11.0167,35.844,7.532E+00,3.709E-01
11.0333,35.650,7.581E+00,3.735E-01
11.0500,35.457,7.630E+00,3.760E-01
11.0667,35.263,7.676E+00,3.784E-01
11.0833,35.070,7.727E+00,3.811E-01
11.1000,34.878,7.776E+00,3.836E-01
11.1167,34.686,7.824E+00,3.861E-01
11.1333,34.494,7.872E+00,3.886E-01
11.1500,34.303,7.920E+00,3.911E-01
11.1667,34.112,7.968E+00,3.936E-01
11.1833,33.921,8.006E+00,3.955E-01
11.2000,33.731,8.063E+00,3.986E-01
11.2167,33.542,8.111E+00,4.010E-01
11.2333,33.353,8.158E+00,4.035E-01
11.2500,33.164,8.205E+00,4.060E-01
11.2667,32.975,8.252E+00,4.084E-01
11.2833,32.787,8.299E+00,4.108E-01
11.3000,32.600,8.345E+00,4.132E-01
11.3167,32.413,8.391E+00,4.157E-01
11.3333,32.227,8.433E+00,4.176E-01
11.3500,32.041,8.484E+00,4.205E-01
11.3667,31.855,8.530E+00,4.228E-01
11.3833,31.670,8.575E+00,4.252E-01
11.4000,31.486,8.620E+00,4.275E-01
11.4167,31.302,8.665E+00,4.299E-01
11.4333,31.118,8.711E+00,4.322E-01
11.4500,30.935,8.755E+00,4.346E-01
11.4667,30.753,8.800E+00,4.369E-01
11.4833,30.571,8.844E+00,4.392E-01
11.5000,30.390,8.888E+00,4.414E-01
11.5167,30.209,8.932E+00,4.437E-01
11.5333,30.029,8.975E+00,4.460E-01
11.5500,29.850,9.019E+00,4.482E-01
11.5667,29.671,9.062E+00,4.505E-01
11.5833,29.493,9.104E+00,4.526E-01
11.6000,29.316,9.147E+00,4.549E-01
11.6167,29.139,9.189E+00,4.571E-01
11.6333,28.963,9.232E+00,4.592E-01
11.6500,28.787,9.268E+00,4.611E-01
11.6667,28.612,9.314E+00,4.635E-01
11.6833,28.439,9.356E+00,4.657E-01
11.7000,28.265,9.397E+00,4.678E-01
11.7167,28.092,9.437E+00,4.699E-01
11.7333,27.920,9.478E+00,4.720E-01
11.7500,27.749,9.518E+00,4.740E-01
11.7667,27.580,9.554E+00,4.758E-01
11.7833,27.410,9.597E+00,4.781E-01
11.8000,27.241,9.636E+00,4.802E-01
11.8167,27.073,9.674E+00,4.822E-01
11.8333,26.906,9.713E+00,4.842E-01
11.8500,26.740,9.752E+00,4.861E-01
11.8667,26.575,9.789E+00,4.881E-01
11.8833,26.411,9.822E+00,4.897E-01
11.9000,26.247,9.864E+00,4.919E-01
11.9167,26.084,9.901E+00,4.938E-01
11.9333,25.922,9.937E+00,4.957E-01
11.9500,25.762,9.974E+00,4.976E-01
11.9667,25.603,1.001E+01,4.994E-01
11.9833,25.444,1.004E+01,5.013E-01
12.0000,25.286,1.007E+01,5.028E-01
12.0167,25.130,1.011E+01,5.048E-01
12.0333,24.974,1.015E+01,5.066E-01
12.0500,24.820,1.018E+01,5.084E-01
12.0667,24.667,1.022E+01,5.101E-01
12.0833,24.514,1.025E+01,5.118E-01
12.1000,24.363,1.028E+01,5.135E-01
12.1167,24.213,1.032E+01,5.152E-01
12.1333,24.064,1.035E+01,5.169E-01
12.1500,23.918,1.038E+01,5.185E-01
12.1667,23.771,1.041E+01,5.201E-01
12.1833,23.626,1.044E+01,5.217E-01
12.2000,23.483,1.047E+01,5.233E-01
12.2167,23.340,1.050E+01,5.248E-01
12.2333,23.199,1.053E+01,5.264E-01
12.2500,23.060,1.056E+01,5.279E-01
12.2667,22.922,1.059E+01,5.294E-01
12.2833,22.785,1.062E+01,5.309E-01
12.3000,22.649,1.065E+01,5.323E-01
12.3167,22.515,1.068E+01,5.337E-01
12.3333,22.383,1.070E+01,5.351E-01
12.3500,22.252,1.073E+01,5.365E-01
12.3667,22.123,1.076E+01,5.379E-01
12.3833,21.995,1.078E+01,5.392E-01
12.4000,21.868,1.081E+01,5.405E-01
12.4167,21.743,1.083E+01,5.416E-01
12.4333,21.621,1.086E+01,5.431E-01
