hora,sza,uv,pre vitamina D
11.0000,35.456,7.323E+00,3.589E-01
11.0167,35.261,7.370E+00,3.613E-01
11.0333,35.065,7.417E+00,3.638E-01
11.0500,34.870,7.464E+00,3.663E-01
11.0667,34.675,7.505E+00,3.684E-01
11.0833,34.480,7.558E+00,3.712E-01
11.1000,34.285,7.605E+00,3.736E-01
11.1167,34.092,7.648E+00,3.759E-01
11.1333,33.898,7.698E+00,3.785E-01
11.1500,33.705,7.744E+00,3.809E-01
11.1667,33.512,7.785E+00,3.829E-01
11.1833,33.319,7.837E+00,3.857E-01
11.2000,33.127,7.883E+00,3.881E-01
11.2167,32.936,7.928E+00,3.905E-01
11.2333,32.745,7.974E+00,3.929E-01
11.2500,32.554,8.019E+00,3.953E-01
11.2667,32.363,8.064E+00,3.976E-01
11.2833,32.173,8.110E+00,4.000E-01
11.3000,31.984,8.154E+00,4.023E-01
11.3167,31.795,8.199E+00,4.047E-01
11.3333,31.606,8.244E+00,4.070E-01
11.3500,31.418,8.288E+00,4.093E-01
11.3667,31.230,8.332E+00,4.116E-01
11.3833,31.042,8.376E+00,4.139E-01
11.4000,30.856,8.419E+00,4.161E-01
11.4167,30.670,8.464E+00,4.184E-01
11.4333,30.484,8.505E+00,4.206E-01
11.4500,30.298,8.550E+00,4.229E-01
11.4667,30.113,8.593E+00,4.252E-01
11.4833,29.929,8.636E+00,4.274E-01
11.5000,29.746,8.678E+00,4.296E-01
11.5167,29.563,8.719E+00,4.317E-01
11.5333,29.380,8.762E+00,4.340E-01
11.5500,29.198,8.804E+00,4.361E-01
11.5667,29.016,8.846E+00,4.383E-01
11.5833,28.836,8.887E+00,4.405E-01
11.6000,28.656,8.914E+00,4.416E-01
11.6167,28.476,8.969E+00,4.447E-01
11.6333,28.297,9.009E+00,4.468E-01
11.6500,28.119,9.049E+00,4.489E-01
11.6667,27.941,9.089E+00,4.510E-01
11.6833,27.765,9.129E+00,4.530E-01
11.7000,27.589,9.168E+00,4.550E-01
11.7167,27.413,9.208E+00,4.571E-01
11.7333,27.238,9.246E+00,4.591E-01
11.7500,27.064,9.285E+00,4.611E-01
11.7667,26.892,9.323E+00,4.631E-01
11.7833,26.719,9.361E+00,4.651E-01
11.8000,26.547,9.399E+00,4.670E-01
11.8167,26.376,9.431E+00,4.685E-01
11.8333,26.206,9.473E+00,4.709E-01
11.8500,26.036,9.510E+00,4.728E-01
11.8667,25.869,9.545E+00,4.747E-01
11.8833,25.701,9.583E+00,4.766E-01
11.9000,25.534,9.618E+00,4.784E-01
11.9167,25.368,9.654E+00,4.803E-01
11.9333,25.203,9.689E+00,4.821E-01
11.9500,25.039,9.724E+00,4.839E-01
11.9667,24.877,9.758E+00,4.857E-01
11.9833,24.715,9.789E+00,4.872E-01
12.0000,24.554,9.826E+00,4.892E-01
12.0167,24.394,9.860E+00,4.909E-01
12.0333,24.235,9.893E+00,4.926E-01
12.0500,24.078,9.926E+00,4.943E-01
12.0667,23.921,9.958E+00,4.960E-01
12.0833,23.765,9.990E+00,4.977E-01
12.1000,23.610,1.002E+01,4.993E-01
12.1167,23.457,1.005E+01,5.009E-01
12.1333,23.304,1.008E+01,5.025E-01
12.1500,23.154,1.011E+01,5.040E-01
12.1667,23.004,1.014E+01,5.057E-01
12.1833,22.855,1.017E+01,5.072E-01
12.2000,22.708,1.020E+01,5.085E-01
12.2167,22.562,1.023E+01,5.102E-01
12.2333,22.417,1.026E+01,5.117E-01
12.2500,22.274,1.029E+01,5.132E-01
12.2667,22.132,1.032E+01,5.146E-01
12.2833,21.992,1.034E+01,5.155E-01
12.3000,21.852,1.037E+01,5.174E-01
12.3167,21.714,1.040E+01,5.188E-01
12.3333,21.579,1.043E+01,5.202E-01
12.3500,21.444,1.045E+01,5.215E-01
12.3667,21.311,1.047E+01,5.227E-01
12.3833,21.179,1.050E+01,5.241E-01
12.4000,21.049,1.053E+01,5.254E-01
12.4167,20.921,1.055E+01,5.264E-01
12.4333,20.795,1.057E+01,5.278E-01
12.4500,20.670,1.060E+01,5.291E-01
12.4667,20.546,1.062E+01,5.303E-01
12.4833,20.425,1.064E+01,5.312E-01
12.5000,20.305,1.067E+01,5.326E-01
12.5167,20.188,1.069E+01,5.337E-01
12.5333,20.072,1.071E+01,5.348E-01
12.5500,19.957,1.073E+01,5.357E-01
12.5667,19.845,1.075E+01,5.369E-01
12.5833,19.735,1.077E+01,5.379E-01
12.6000,19.626,1.079E+01,5.389E-01
12.6167,19.521,1.081E+01,5.399E-01
12.6333,19.416,1.083E+01,5.409E-01
12.6500,19.314,1.084E+01,5.413E-01
12.6667,19.214,1.086E+01,5.427E-01
12.6833,19.116,1.088E+01,5.436E-01
12.7000,19.020,1.090E+01,5.445E-01
12.7167,18.928,1.091E+01,5.453E-01
12.7333,18.836,1.093E+01,5.462E-01
12.7500,18.747,1.095E+01,5.470E-01
12.7667,18.660,1.096E+01,5.477E-01
12.7833,18.576,1.097E+01,5.485E-01
12.8000,18.495,1.099E+01,5.492E-01
12.8167,18.416,1.100E+01,5.499E-01
12.8333,18.339,1.102E+01,5.506E-01
12.8500,18.264,1.103E+01,5.512E-01
12.8667,18.192,1.104E+01,5.519E-01
12.8833,18.122,1.105E+01,5.525E-01
12.9000,18.056,1.106E+01,5.530E-01
12.9167,17.992,1.107E+01,5.536E-01
12.9333,17.930,1.108E+01,5.541E-01
12.9500,17.871,1.109E+01,5.546E-01
12.9667,17.814,1.110E+01,5.551E-01
12.9833,17.761,1.111E+01,5.556E-01
13.0000,17.711,1.112E+01,5.560E-01
13.0167,17.662,1.113E+01,5.564E-01
13.0333,17.617,1.114E+01,5.568E-01
13.0500,17.574,1.114E+01,5.572E-01
13.0667,17.534,1.115E+01,5.575E-01
13.0833,17.498,1.115E+01,5.575E-01
13.1000,17.464,1.115E+01,5.575E-01
13.1167,17.433,1.116E+01,5.577E-01
13.1333,17.405,1.117E+01,5.582E-01
13.1500,17.379,1.117E+01,5.587E-01
13.1667,17.356,1.118E+01,5.590E-01
13.1833,17.338,1.118E+01,5.592E-01
13.2000,17.321,1.119E+01,5.593E-01
13.2167,17.307,1.119E+01,5.594E-01
13.2333,17.297,1.119E+01,5.595E-01
13.2500,17.289,1.119E+01,5.596E-01
13.2667,17.285,1.119E+01,5.596E-01
13.2833,17.283,1.119E+01,5.596E-01
13.3000,17.284,1.119E+01,5.596E-01
13.3167,17.288,1.119E+01,5.596E-01
13.3333,17.295,1.119E+01,5.595E-01
13.3500,17.305,1.119E+01,5.595E-01
13.3667,17.319,1.119E+01,5.593E-01
13.3833,17.335,1.118E+01,5.592E-01
13.4000,17.354,1.118E+01,5.590E-01
13.4167,17.376,1.117E+01,5.587E-01
13.4333,17.400,1.117E+01,5.583E-01
13.4500,17.428,1.116E+01,5.578E-01
13.4667,17.459,1.115E+01,5.575E-01
13.4833,17.493,1.115E+01,5.575E-01
13.5000,17.529,1.115E+01,5.576E-01
13.5167,17.568,1.114E+01,5.572E-01
13.5333,17.610,1.114E+01,5.569E-01
13.5500,17.655,1.113E+01,5.565E-01
13.5667,17.703,1.112E+01,5.561E-01
13.5833,17.753,1.111E+01,5.557E-01
13.6000,17.806,1.111E+01,5.552E-01
13.6167,17.862,1.110E+01,5.547E-01
13.6333,17.920,1.109E+01,5.542E-01
13.6500,17.982,1.108E+01,5.537E-01
13.6667,18.046,1.107E+01,5.531E-01
13.6833,18.112,1.105E+01,5.526E-01
13.7000,18.181,1.104E+01,5.520E-01
13.7167,18.252,1.103E+01,5.513E-01
13.7333,18.326,1.102E+01,5.507E-01
13.7500,18.404,1.100E+01,5.500E-01
13.7667,18.482,1.099E+01,5.493E-01
13.7833,18.564,1.098E+01,5.486E-01
13.8000,18.647,1.096E+01,5.478E-01
13.8167,18.733,1.095E+01,5.471E-01
13.8333,18.823,1.093E+01,5.463E-01
13.8500,18.913,1.092E+01,5.455E-01
13.8667,19.006,1.090E+01,5.446E-01
13.8833,19.101,1.088E+01,5.438E-01
13.9000,19.199,1.087E+01,5.429E-01
13.9167,19.298,1.084E+01,5.412E-01
13.9333,19.401,1.083E+01,5.410E-01
13.9500,19.504,1.081E+01,5.401E-01
13.9667,19.610,1.079E+01,5.391E-01
13.9833,19.718,1.077E+01,5.381E-01
14.0000,19.828,1.075E+01,5.371E-01
14.0167,19.940,1.073E+01,5.359E-01
14.0333,20.054,1.071E+01,5.349E-01
14.0500,20.169,1.069E+01,5.338E-01
14.0667,20.287,1.067E+01,5.327E-01
14.0833,20.406,1.064E+01,5.312E-01
14.1000,20.527,1.062E+01,5.304E-01
14.1167,20.651,1.060E+01,5.292E-01
14.1333,20.775,1.058E+01,5.280E-01
14.1500,20.902,1.055E+01,5.265E-01
14.1667,21.030,1.053E+01,5.255E-01
14.1833,21.159,1.051E+01,5.243E-01
14.2000,21.290,1.048E+01,5.229E-01
14.2167,21.424,1.045E+01,5.217E-01
14.2333,21.558,1.043E+01,5.204E-01
14.2500,21.694,1.040E+01,5.190E-01
14.2667,21.831,1.038E+01,5.176E-01
14.2833,21.970,1.034E+01,5.155E-01
14.3000,22.111,1.032E+01,5.148E-01
14.3167,22.253,1.029E+01,5.133E-01
14.3333,22.396,1.027E+01,5.119E-01
14.3500,22.540,1.024E+01,5.104E-01
14.3667,22.686,1.021E+01,5.089E-01
14.3833,22.833,1.018E+01,5.074E-01
14.4000,22.982,1.015E+01,5.059E-01
14.4167,23.131,1.012E+01,5.043E-01
14.4333,23.282,1.009E+01,5.027E-01
14.4500,23.434,1.006E+01,5.012E-01
14.4667,23.587,1.003E+01,4.995E-01
14.4833,23.741,9.994E+00,4.979E-01
14.5000,23.897,9.962E+00,4.962E-01
14.5167,24.054,9.930E+00,4.946E-01
14.5333,24.211,9.897E+00,4.929E-01
14.5500,24.370,9.864E+00,4.912E-01
14.5667,24.530,9.831E+00,4.894E-01
14.5833,24.691,9.793E+00,4.874E-01
14.6000,24.853,9.763E+00,4.859E-01
14.6167,25.016,9.729E+00,4.841E-01
14.6333,25.179,9.694E+00,4.823E-01
14.6500,25.344,9.659E+00,4.805E-01
14.6667,25.509,9.623E+00,4.787E-01
14.6833,25.677,9.587E+00,4.768E-01
14.7000,25.844,9.551E+00,4.749E-01
14.7167,26.012,9.515E+00,4.731E-01
14.7333,26.181,9.478E+00,4.712E-01
14.7500,26.351,9.437E+00,4.689E-01
14.7667,26.522,9.402E+00,4.672E-01
14.7833,26.694,9.366E+00,4.653E-01
14.8000,26.866,9.328E+00,4.634E-01
14.8167,27.039,9.290E+00,4.614E-01
14.8333,27.213,9.252E+00,4.594E-01
14.8500,27.388,9.213E+00,4.574E-01
14.8667,27.564,9.169E+00,4.550E-01
14.8833,27.740,9.134E+00,4.533E-01
14.9000,27.916,9.095E+00,4.512E-01
14.9167,28.094,9.054E+00,4.492E-01
14.9333,28.272,9.014E+00,4.471E-01
14.9500,28.451,8.974E+00,4.450E-01
14.9667,28.631,8.930E+00,4.426E-01
14.9833,28.811,8.892E+00,4.407E-01
15.0000,28.991,8.851E+00,4.386E-01
15.0167,29.172,8.810E+00,4.364E-01
15.0333,29.354,8.768E+00,4.343E-01
15.0500,29.537,8.725E+00,4.321E-01
15.0667,29.720,8.684E+00,4.299E-01
15.0833,29.904,8.641E+00,4.277E-01
15.1000,30.088,8.598E+00,4.255E-01
