hora,sza,uv,pre vitamina D
11.0000,30.050,9.112E+00,4.531E-01
11.0167,29.846,9.165E+00,4.558E-01
11.0333,29.640,9.215E+00,4.584E-01
11.0500,29.435,9.265E+00,4.610E-01
11.0667,29.230,9.314E+00,4.636E-01
11.0833,29.026,9.363E+00,4.661E-01
11.1000,28.821,9.410E+00,4.685E-01
11.1167,28.617,9.461E+00,4.711E-01
11.1333,28.413,9.512E+00,4.738E-01
11.1500,28.209,9.561E+00,4.763E-01
11.1667,28.006,9.610E+00,4.789E-01
11.1833,27.802,9.658E+00,4.814E-01
11.2000,27.599,9.706E+00,4.838E-01
11.2167,27.396,9.746E+00,4.856E-01
11.2333,27.193,9.802E+00,4.888E-01
11.2500,26.991,9.850E+00,4.912E-01
11.2667,26.788,9.897E+00,4.937E-01
11.2833,26.586,9.944E+00,4.961E-01
11.3000,26.385,9.991E+00,4.985E-01
11.3167,26.183,1.003E+01,5.004E-01
11.3333,25.981,1.008E+01,5.033E-01
11.3500,25.780,1.013E+01,5.057E-01
11.3667,25.579,1.018E+01,5.080E-01
11.3833,25.379,1.022E+01,5.104E-01
11.4000,25.179,1.027E+01,5.127E-01
11.4167,24.979,1.031E+01,5.150E-01
11.4333,24.779,1.036E+01,5.173E-01
11.4500,24.580,1.040E+01,5.196E-01
11.4667,24.381,1.044E+01,5.219E-01
11.4833,24.182,1.049E+01,5.241E-01
11.5000,23.984,1.053E+01,5.264E-01
11.5167,23.786,1.058E+01,5.286E-01
11.5333,23.588,1.062E+01,5.308E-01
11.5500,23.391,1.066E+01,5.330E-01
11.5667,23.194,1.070E+01,5.352E-01
11.5833,22.998,1.075E+01,5.373E-01
11.6000,22.802,1.079E+01,5.395E-01
11.6167,22.606,1.083E+01,5.416E-01
11.6333,22.410,1.087E+01,5.437E-01
11.6500,22.216,1.091E+01,5.458E-01
11.6667,22.021,1.095E+01,5.479E-01
11.6833,21.828,1.099E+01,5.499E-01
11.7000,21.634,1.103E+01,5.520E-01
11.7167,21.441,1.107E+01,5.538E-01
11.7333,21.248,1.111E+01,5.560E-01
11.7500,21.056,1.115E+01,5.580E-01
11.7667,20.866,1.118E+01,5.598E-01
11.7833,20.675,1.122E+01,5.619E-01
11.8000,20.484,1.126E+01,5.638E-01
11.8167,20.294,1.129E+01,5.654E-01
11.8333,20.105,1.133E+01,5.674E-01
11.8500,19.917,1.137E+01,5.695E-01
11.8667,19.729,1.141E+01,5.713E-01
11.8833,19.542,1.144E+01,5.731E-01
11.9000,19.355,1.148E+01,5.748E-01
11.9167,19.169,1.151E+01,5.767E-01
11.9333,18.984,1.155E+01,5.785E-01
11.9500,18.800,1.158E+01,5.801E-01
11.9667,18.616,1.162E+01,5.820E-01
11.9833,18.433,1.165E+01,5.837E-01
12.0000,18.251,1.167E+01,5.846E-01
12.0167,18.070,1.172E+01,5.870E-01
12.0333,17.890,1.175E+01,5.886E-01
12.0500,17.711,1.178E+01,5.903E-01
12.0667,17.532,1.181E+01,5.919E-01
12.0833,17.354,1.184E+01,5.935E-01
12.1000,17.177,1.187E+01,5.950E-01
12.1167,17.002,1.189E+01,5.958E-01
12.1333,16.827,1.193E+01,5.981E-01
12.1500,16.654,1.196E+01,5.996E-01
12.1667,16.481,1.199E+01,6.010E-01
12.1833,16.310,1.202E+01,6.025E-01
12.2000,16.140,1.205E+01,6.039E-01
12.2167,15.971,1.207E+01,6.053E-01
12.2333,15.803,1.210E+01,6.067E-01
12.2500,15.637,1.213E+01,6.080E-01
12.2667,15.472,1.215E+01,6.094E-01
12.2833,15.308,1.218E+01,6.107E-01
12.3000,15.146,1.220E+01,6.120E-01
12.3167,14.985,1.223E+01,6.132E-01
12.3333,14.826,1.224E+01,6.137E-01
12.3500,14.669,1.228E+01,6.157E-01
12.3667,14.513,1.230E+01,6.169E-01
12.3833,14.358,1.232E+01,6.180E-01
12.4000,14.205,1.235E+01,6.192E-01
12.4167,14.055,1.237E+01,6.203E-01
12.4333,13.906,1.239E+01,6.214E-01
12.4500,13.759,1.241E+01,6.224E-01
12.4667,13.614,1.242E+01,6.230E-01
12.4833,13.471,1.245E+01,6.245E-01
12.5000,13.330,1.247E+01,6.255E-01
12.5167,13.191,1.249E+01,6.265E-01
12.5333,13.055,1.251E+01,6.275E-01
12.5500,12.920,1.253E+01,6.284E-01
12.5667,12.788,1.254E+01,6.293E-01
12.5833,12.659,1.256E+01,6.301E-01
12.6000,12.532,1.258E+01,6.310E-01
12.6167,12.408,1.259E+01,6.318E-01
12.6333,12.287,1.261E+01,6.326E-01
12.6500,12.168,1.262E+01,6.334E-01
12.6667,12.052,1.264E+01,6.341E-01
12.6833,11.939,1.265E+01,6.349E-01
12.7000,11.829,1.267E+01,6.356E-01
12.7167,11.723,1.268E+01,6.362E-01
12.7333,11.619,1.269E+01,6.369E-01
12.7500,11.519,1.271E+01,6.375E-01
12.7667,11.422,1.272E+01,6.381E-01
12.7833,11.328,1.273E+01,6.387E-01
12.8000,11.239,1.274E+01,6.392E-01
12.8167,11.152,1.275E+01,6.397E-01
12.8333,11.070,1.276E+01,6.402E-01
12.8500,10.991,1.277E+01,6.407E-01
12.8667,10.916,1.277E+01,6.410E-01
12.8833,10.845,1.278E+01,6.411E-01
12.9000,10.778,1.278E+01,6.415E-01
12.9167,10.716,1.279E+01,6.421E-01
