hora,sza,uv,pre vitamina D
11.0000,37.648,5.989E+00,2.826E-01
11.0167,37.487,6.022E+00,2.844E-01
11.0333,37.329,6.055E+00,2.861E-01
11.0500,37.172,6.088E+00,2.878E-01
11.0667,37.015,6.121E+00,2.896E-01
11.0833,36.860,6.154E+00,2.913E-01
11.1000,36.705,6.186E+00,2.930E-01
11.1167,36.549,6.217E+00,2.946E-01
11.1333,36.396,6.251E+00,2.964E-01
11.1500,36.243,6.282E+00,2.981E-01
11.1667,36.092,6.314E+00,2.998E-01
11.1833,35.941,6.343E+00,3.013E-01
11.2000,35.791,6.374E+00,3.029E-01
11.2167,35.640,6.408E+00,3.047E-01
11.2333,35.492,6.439E+00,3.064E-01
11.2500,35.345,6.469E+00,3.080E-01
11.2667,35.199,6.499E+00,3.095E-01
11.2833,35.053,6.530E+00,3.112E-01
11.3000,34.907,6.561E+00,3.128E-01
11.3167,34.764,6.591E+00,3.144E-01
11.3333,34.621,6.620E+00,3.159E-01
11.3500,34.479,6.650E+00,3.175E-01
11.3667,34.339,6.679E+00,3.190E-01
11.3833,34.199,6.708E+00,3.205E-01
11.4000,34.059,6.737E+00,3.221E-01
11.4167,33.921,6.765E+00,3.236E-01
11.4333,33.784,6.794E+00,3.251E-01
11.4500,33.649,6.821E+00,3.265E-01
11.4667,33.514,6.849E+00,3.280E-01
11.4833,33.381,6.877E+00,3.295E-01
11.5000,33.247,6.904E+00,3.309E-01
11.5167,33.116,6.931E+00,3.324E-01
11.5333,32.985,6.958E+00,3.338E-01
11.5500,32.856,6.984E+00,3.351E-01
11.5667,32.728,7.011E+00,3.366E-01
11.5833,32.600,7.037E+00,3.379E-01
11.6000,32.475,7.063E+00,3.393E-01
11.6167,32.350,7.088E+00,3.406E-01
11.6333,32.227,7.114E+00,3.420E-01
11.6500,32.105,7.138E+00,3.433E-01
11.6667,31.984,7.163E+00,3.446E-01
11.6833,31.863,7.188E+00,3.459E-01
11.7000,31.745,7.212E+00,3.472E-01
11.7167,31.628,7.236E+00,3.484E-01
11.7333,31.512,7.259E+00,3.497E-01
11.7500,31.397,7.281E+00,3.509E-01
11.7667,31.283,7.305E+00,3.521E-01
11.7833,31.171,7.327E+00,3.533E-01
11.8000,31.060,7.349E+00,3.544E-01
11.8167,30.951,7.372E+00,3.556E-01
11.8333,30.843,7.388E+00,3.563E-01
11.8500,30.737,7.416E+00,3.579E-01
11.8667,30.630,7.437E+00,3.590E-01
11.8833,30.527,7.458E+00,3.601E-01
11.9000,30.424,7.478E+00,3.612E-01
11.9167,30.324,7.498E+00,3.623E-01
11.9333,30.224,7.518E+00,3.633E-01
11.9500,30.126,7.538E+00,3.644E-01
11.9667,30.029,7.555E+00,3.652E-01
11.9833,29.934,7.574E+00,3.663E-01
12.0000,29.840,7.595E+00,3.674E-01
12.0167,29.748,7.612E+00,3.683E-01
12.0333,29.658,7.630E+00,3.692E-01
12.0500,29.568,7.649E+00,3.702E-01
12.0667,29.481,7.666E+00,3.711E-01
12.0833,29.395,7.683E+00,3.720E-01
12.1000,29.311,7.700E+00,3.729E-01
12.1167,29.229,7.716E+00,3.738E-01
12.1333,29.148,7.732E+00,3.746E-01
12.1500,29.067,7.748E+00,3.754E-01
12.1667,28.990,7.763E+00,3.762E-01
12.1833,28.914,7.777E+00,3.770E-01
12.2000,28.840,7.792E+00,3.778E-01
12.2167,28.767,7.804E+00,3.783E-01
12.2333,28.697,7.820E+00,3.793E-01
12.2500,28.626,7.834E+00,3.800E-01
12.2667,28.559,7.847E+00,3.807E-01
12.2833,28.493,7.860E+00,3.814E-01
12.3000,28.429,7.872E+00,3.820E-01
12.3167,28.367,7.885E+00,3.827E-01
12.3333,28.306,7.897E+00,3.833E-01
12.3500,28.247,7.908E+00,3.839E-01
12.3667,28.191,7.919E+00,3.845E-01
12.3833,28.136,7.930E+00,3.850E-01
12.4000,28.083,7.940E+00,3.856E-01
12.4167,28.031,7.950E+00,3.861E-01
12.4333,27.981,7.960E+00,3.866E-01
12.4500,27.933,7.969E+00,3.871E-01
12.4667,27.887,7.977E+00,3.876E-01
12.4833,27.844,7.986E+00,3.880E-01
12.5000,27.802,7.994E+00,3.884E-01
12.5167,27.760,8.002E+00,3.889E-01
12.5333,27.722,8.009E+00,3.892E-01
12.5500,27.686,8.016E+00,3.896E-01
12.5667,27.652,8.023E+00,3.900E-01
12.5833,27.619,8.029E+00,3.903E-01
12.6000,27.589,8.035E+00,3.906E-01
12.6167,27.559,8.041E+00,3.909E-01
12.6333,27.532,8.046E+00,3.912E-01
12.6500,27.508,8.050E+00,3.913E-01
12.6667,27.485,8.051E+00,3.913E-01
12.6833,27.465,8.053E+00,3.914E-01
12.7000,27.446,8.059E+00,3.918E-01
12.7167,27.428,8.066E+00,3.922E-01
12.7333,27.413,8.069E+00,3.924E-01
12.7500,27.400,8.071E+00,3.925E-01
12.7667,27.389,8.073E+00,3.926E-01
12.7833,27.380,8.073E+00,3.925E-01
12.8000,27.372,8.073E+00,3.925E-01
12.8167,27.367,8.073E+00,3.925E-01
12.8333,27.364,8.073E+00,3.925E-01
12.8500,27.363,8.073E+00,3.925E-01
12.8667,27.364,8.073E+00,3.925E-01
12.8833,27.367,8.073E+00,3.925E-01
12.9000,27.371,8.073E+00,3.925E-01
12.9167,27.378,8.073E+00,3.926E-01
12.9333,27.387,8.073E+00,3.926E-01
12.9500,27.398,8.072E+00,3.925E-01
12.9667,27.410,8.069E+00,3.924E-01
12.9833,27.425,8.066E+00,3.922E-01
13.0000,27.441,8.061E+00,3.919E-01
13.0167,27.460,8.054E+00,3.915E-01
13.0333,27.480,8.051E+00,3.913E-01
13.0500,27.503,8.050E+00,3.913E-01
13.0667,27.528,8.047E+00,3.912E-01
13.0833,27.553,8.042E+00,3.910E-01
13.1000,27.582,8.036E+00,3.907E-01
13.1167,27.612,8.031E+00,3.904E-01
13.1333,27.645,8.024E+00,3.900E-01
13.1500,27.679,8.018E+00,3.897E-01
13.1667,27.715,8.011E+00,3.893E-01
13.1833,27.752,8.004E+00,3.889E-01
13.2000,27.792,7.996E+00,3.885E-01
13.2167,27.834,7.988E+00,3.881E-01
13.2333,27.878,7.979E+00,3.877E-01
13.2500,27.924,7.971E+00,3.872E-01
13.2667,27.970,7.962E+00,3.867E-01
13.2833,28.019,7.952E+00,3.862E-01
13.3000,28.071,7.942E+00,3.857E-01
13.3167,28.124,7.932E+00,3.852E-01
13.3333,28.179,7.921E+00,3.846E-01
13.3500,28.236,7.910E+00,3.840E-01
13.3667,28.293,7.899E+00,3.834E-01
13.3833,28.353,7.888E+00,3.828E-01
13.4000,28.415,7.875E+00,3.822E-01
13.4167,28.479,7.863E+00,3.815E-01
13.4333,28.545,7.850E+00,3.808E-01
13.4500,28.612,7.837E+00,3.802E-01
13.4667,28.680,7.824E+00,3.795E-01
13.4833,28.751,7.805E+00,3.783E-01
13.5000,28.824,7.796E+00,3.780E-01
13.5167,28.898,7.780E+00,3.772E-01
13.5333,28.974,7.766E+00,3.764E-01
13.5500,29.050,7.751E+00,3.756E-01
13.5667,29.129,7.736E+00,3.748E-01
13.5833,29.210,7.720E+00,3.740E-01
13.6000,29.293,7.704E+00,3.731E-01
13.6167,29.377,7.687E+00,3.722E-01
13.6333,29.463,7.670E+00,3.713E-01
13.6500,29.549,7.653E+00,3.704E-01
13.6667,29.638,7.631E+00,3.691E-01
13.6833,29.728,7.616E+00,3.685E-01
13.7000,29.820,7.599E+00,3.676E-01
13.7167,29.914,7.579E+00,3.666E-01
13.7333,30.009,7.562E+00,3.656E-01
13.7500,30.104,7.543E+00,3.646E-01
13.7667,30.202,7.523E+00,3.636E-01
13.7833,30.302,7.503E+00,3.625E-01
13.8000,30.402,7.483E+00,3.615E-01
13.8167,30.505,7.461E+00,3.603E-01
13.8333,30.607,7.442E+00,3.593E-01
13.8500,30.713,7.421E+00,3.582E-01
13.8667,30.819,7.397E+00,3.568E-01
13.8833,30.927,7.378E+00,3.559E-01
13.9000,31.037,7.354E+00,3.547E-01
13.9167,31.147,7.333E+00,3.536E-01
13.9333,31.258,7.311E+00,3.524E-01
13.9500,31.371,7.288E+00,3.512E-01
13.9667,31.486,7.265E+00,3.500E-01
13.9833,31.602,7.241E+00,3.487E-01
14.0000,31.719,7.217E+00,3.475E-01
14.0167,31.837,7.194E+00,3.462E-01
14.0333,31.956,7.169E+00,3.449E-01
14.0500,32.077,7.145E+00,3.436E-01
14.0667,32.200,7.120E+00,3.423E-01
14.0833,32.323,7.094E+00,3.410E-01
14.1000,32.448,7.069E+00,3.396E-01
