hora,sza,uv,pre vitamina D
11.0000,31.391,7.345E+00,3.536E-01
11.0167,31.214,7.380E+00,3.555E-01
11.0333,31.039,7.416E+00,3.574E-01
11.0500,30.864,7.452E+00,3.593E-01
11.0667,30.690,7.487E+00,3.612E-01
11.0833,30.516,7.522E+00,3.630E-01
11.1000,30.343,7.557E+00,3.649E-01
11.1167,30.170,7.592E+00,3.667E-01
11.1333,29.999,7.625E+00,3.685E-01
11.1500,29.828,7.660E+00,3.703E-01
11.1667,29.658,7.695E+00,3.721E-01
11.1833,29.489,7.729E+00,3.739E-01
11.2000,29.321,7.762E+00,3.757E-01
11.2167,29.152,7.796E+00,3.774E-01
11.2333,28.986,7.828E+00,3.792E-01
11.2500,28.820,7.857E+00,3.805E-01
11.2667,28.655,7.894E+00,3.826E-01
11.2833,28.490,7.926E+00,3.843E-01
11.3000,28.326,7.959E+00,3.860E-01
11.3167,28.164,7.990E+00,3.877E-01
11.3333,28.002,8.022E+00,3.894E-01
11.3500,27.841,8.053E+00,3.910E-01
11.3667,27.681,8.084E+00,3.927E-01
11.3833,27.523,8.114E+00,3.942E-01
11.4000,27.364,8.146E+00,3.959E-01
11.4167,27.207,8.176E+00,3.975E-01
11.4333,27.051,8.206E+00,3.991E-01
11.4500,26.896,8.235E+00,4.006E-01
11.4667,26.742,8.265E+00,4.022E-01
11.4833,26.589,8.294E+00,4.037E-01
11.5000,26.437,8.323E+00,4.052E-01
11.5167,26.286,8.351E+00,4.067E-01
11.5333,26.137,8.379E+00,4.082E-01
11.5500,25.988,8.407E+00,4.097E-01
11.5667,25.841,8.434E+00,4.111E-01
11.5833,25.694,8.462E+00,4.126E-01
11.6000,25.549,8.489E+00,4.140E-01
11.6167,25.405,8.513E+00,4.153E-01
11.6333,25.263,8.542E+00,4.168E-01
11.6500,25.121,8.568E+00,4.182E-01
11.6667,24.982,8.592E+00,4.195E-01
11.6833,24.842,8.619E+00,4.209E-01
11.7000,24.704,8.644E+00,4.222E-01
11.7167,24.568,8.669E+00,4.235E-01
11.7333,24.434,8.693E+00,4.248E-01
11.7500,24.301,8.717E+00,4.260E-01
11.7667,24.168,8.741E+00,4.273E-01
11.7833,24.037,8.765E+00,4.285E-01
11.8000,23.908,8.788E+00,4.297E-01
11.8167,23.781,8.810E+00,4.309E-01
11.8333,23.655,8.833E+00,4.321E-01
11.8500,23.530,8.855E+00,4.333E-01
11.8667,23.406,8.877E+00,4.344E-01
11.8833,23.285,8.898E+00,4.355E-01
11.9000,23.165,8.919E+00,4.366E-01
11.9167,23.047,8.939E+00,4.377E-01
11.9333,22.931,8.960E+00,4.388E-01
11.9500,22.816,8.979E+00,4.398E-01
11.9667,22.702,8.999E+00,4.409E-01
11.9833,22.591,9.018E+00,4.419E-01
12.0000,22.481,9.037E+00,4.429E-01
12.0167,22.373,9.055E+00,4.438E-01
12.0333,22.267,9.062E+00,4.439E-01
12.0500,22.162,9.092E+00,4.457E-01
12.0667,22.060,9.109E+00,4.467E-01
12.0833,21.960,9.126E+00,4.475E-01
12.1000,21.861,9.142E+00,4.484E-01
12.1167,21.765,9.159E+00,4.493E-01
12.1333,21.670,9.170E+00,4.497E-01
12.1500,21.576,9.190E+00,4.509E-01
12.1667,21.486,9.205E+00,4.517E-01
12.1833,21.397,9.220E+00,4.525E-01
12.2000,21.311,9.234E+00,4.532E-01
12.2167,21.227,9.242E+00,4.536E-01
12.2333,21.145,9.261E+00,4.547E-01
12.2500,21.063,9.274E+00,4.553E-01
12.2667,20.986,9.280E+00,4.555E-01
12.2833,20.910,9.300E+00,4.567E-01
12.3000,20.836,9.312E+00,4.573E-01
12.3167,20.765,9.323E+00,4.579E-01
12.3333,20.695,9.335E+00,4.585E-01
12.3500,20.629,9.345E+00,4.591E-01
12.3667,20.564,9.356E+00,4.596E-01
12.3833,20.502,9.366E+00,4.602E-01
12.4000,20.443,9.375E+00,4.607E-01
12.4167,20.386,9.384E+00,4.611E-01
12.4333,20.329,9.393E+00,4.616E-01
12.4500,20.277,9.401E+00,4.620E-01
12.4667,20.227,9.410E+00,4.625E-01
12.4833,20.180,9.417E+00,4.629E-01
12.5000,20.135,9.424E+00,4.632E-01
12.5167,20.091,9.431E+00,4.636E-01
12.5333,20.051,9.438E+00,4.639E-01
12.5500,20.013,9.444E+00,4.643E-01
