hora,sza,uv,pre vitamina D
11.0000,57.092,2.501E+00,1.053E-01
11.0167,56.963,2.522E+00,1.063E-01
11.0333,56.836,2.543E+00,1.074E-01
11.0500,56.710,2.564E+00,1.085E-01
11.0667,56.584,2.585E+00,1.095E-01
11.0833,56.459,2.606E+00,1.106E-01
11.1000,56.335,2.627E+00,1.117E-01
11.1167,56.210,2.648E+00,1.128E-01
11.1333,56.088,2.669E+00,1.138E-01
11.1500,55.966,2.690E+00,1.149E-01
11.1667,55.845,2.711E+00,1.159E-01
11.1833,55.724,2.732E+00,1.170E-01
11.2000,55.604,2.752E+00,1.181E-01
11.2167,55.484,2.773E+00,1.191E-01
11.2333,55.366,2.794E+00,1.202E-01
11.2500,55.249,2.814E+00,1.212E-01
11.2667,55.132,2.835E+00,1.223E-01
11.2833,55.016,2.855E+00,1.233E-01
11.3000,54.900,2.876E+00,1.244E-01
11.3167,54.786,2.896E+00,1.254E-01
11.3333,54.673,2.916E+00,1.264E-01
11.3500,54.560,2.936E+00,1.275E-01
11.3667,54.448,2.957E+00,1.285E-01
11.3833,54.337,2.976E+00,1.295E-01
11.4000,54.226,2.997E+00,1.306E-01
11.4167,54.117,3.016E+00,1.316E-01
11.4333,54.008,3.036E+00,1.326E-01
11.4500,53.901,3.056E+00,1.336E-01
11.4667,53.794,3.075E+00,1.346E-01
11.4833,53.688,3.094E+00,1.356E-01
11.5000,53.581,3.114E+00,1.366E-01
11.5167,53.477,3.133E+00,1.376E-01
11.5333,53.374,3.152E+00,1.386E-01
11.5500,53.271,3.171E+00,1.396E-01
11.5667,53.170,3.190E+00,1.405E-01
11.5833,53.068,3.209E+00,1.415E-01
11.6000,52.968,3.228E+00,1.425E-01
11.6167,52.869,3.246E+00,1.434E-01
11.6333,52.771,3.265E+00,1.444E-01
11.6500,52.673,3.283E+00,1.454E-01
11.6667,52.577,3.301E+00,1.463E-01
11.6833,52.480,3.319E+00,1.472E-01
11.7000,52.386,3.337E+00,1.482E-01
11.7167,52.292,3.355E+00,1.491E-01
11.7333,52.200,3.373E+00,1.500E-01
11.7500,52.108,3.390E+00,1.509E-01
11.7667,52.016,3.408E+00,1.518E-01
11.7833,51.926,3.425E+00,1.527E-01
11.8000,51.837,3.442E+00,1.536E-01
11.8167,51.749,3.459E+00,1.545E-01
11.8333,51.662,3.476E+00,1.554E-01
11.8500,51.576,3.493E+00,1.562E-01
11.8667,51.490,3.509E+00,1.571E-01
11.8833,51.406,3.526E+00,1.579E-01
11.9000,51.322,3.542E+00,1.588E-01
11.9167,51.240,3.558E+00,1.596E-01
11.9333,51.159,3.574E+00,1.604E-01
11.9500,51.079,3.590E+00,1.613E-01
11.9667,50.998,3.605E+00,1.621E-01
11.9833,50.920,3.620E+00,1.629E-01
12.0000,50.843,3.636E+00,1.637E-01
12.0167,50.767,3.651E+00,1.644E-01
12.0333,50.692,3.666E+00,1.652E-01
12.0500,50.616,3.681E+00,1.660E-01
12.0667,50.543,3.695E+00,1.667E-01
12.0833,50.471,3.710E+00,1.675E-01
12.1000,50.400,3.724E+00,1.682E-01
12.1167,50.330,3.737E+00,1.690E-01
12.1333,50.260,3.751E+00,1.697E-01
12.1500,50.191,3.764E+00,1.703E-01
12.1667,50.124,3.779E+00,1.711E-01
12.1833,50.058,3.791E+00,1.717E-01
12.2000,49.994,3.804E+00,1.724E-01
