CIE-2014,Herman (2010)
0.42,0.36745
0.42,0.36936
0,0.36875
0.42,0.35037
0.42,0.34127
0.42,0.33234
0.42,0.31052
0.42,0.2905
0.42,0.3013
0.42,0.31016
0,0.29013
0,0.23818
0,0.25246
0,0.2536
0.42,0.2549
0.42,0.25957
0.42,0.26452
0.39,0.25325
0.33,0.25595
0,0.26026
0,0.25799
0,0.25565
0,0.25471
0,0.25371
0,0.21687
0,0.23919
0,0.21985
0,0.23248
0.39,0.22865
0.39,0.22996
0.36,0.23143
0,0.2121
0,0.19488
0.36,0.19342
0.36,0.17549
0,0.17571
0.36,0.18457
0,0.19458
0.3,0.17919
0.27,0.16543
0.27,0.15539
0.27,0.16137
0.27,0.16609
0.27,0.16935
0.27,0.17532
0.24,0.18201
0,0.18944
0,0.17703
0,0.16561
0,0.14894
0,0.1341
0,0.15246
0,0.15761
0,0.16317
0,0.15936
0.24,0.15565
0.24,0.14416
0.24,0.14296
0.27,0.14511
0,0.1136
