Date,Ozone
2019-06-01,269.83
2019-06-02,3604.68
2019-06-03,272.53
2019-06-04,3604.68
2019-06-05,266.22
2019-06-06,257.89
2019-06-07,260.65
2019-06-08,264.84
2019-06-09,90000.00
2019-06-10,264.81
2019-06-11,273.30
2019-06-12,269.34
2019-06-13,275.55
2019-06-14,259.12
2019-06-15,251.86
2019-06-16,242.61
2019-06-17,248.50
2019-06-18,745.07
2019-06-19,245.02
2019-06-20,240.34
2019-06-21,239.25
2019-06-22,251.01
2019-06-23,251.46
2019-06-24,266.50
2019-06-25,3604.68
2019-06-26,280.77
2019-06-27,271.73
2019-06-28,281.78
2019-06-29,292.59
2019-06-30,283.77
2019-07-01,306.72
2019-07-02,302.01
2019-07-03,295.94
2019-07-04,290.48
2019-07-05,313.72
2019-07-06,290.48
2019-07-07,263.86
2019-07-08,269.58
2019-07-09,251.33
2019-07-10,261.86
2019-07-11,290.48
2019-07-12,276.68
2019-07-13,272.19
2019-07-14,278.17
2019-07-15,278.79
2019-07-16,269.32
2019-07-17,271.45
2019-07-18,291.72
2019-07-19,292.43
2019-07-20,290.48
2019-07-21,293.81
2019-07-22,311.62
2019-07-23,316.47
2019-07-24,306.34
2019-07-25,318.04
2019-07-26,320.60
2019-07-27,290.48
2019-07-28,309.68
2019-07-29,313.98
2019-07-30,284.67
2019-07-31,281.43
2019-08-01,301.52
2019-08-02,333.05
2019-08-03,309.13
2019-08-04,272.75
2019-08-05,295.94
2019-08-06,258.84
2019-08-07,295.94
2019-08-08,274.00
2019-08-09,311.88
2019-08-10,296.77
2019-08-11,284.28
2019-08-12,295.94
2019-08-13,298.87
2019-08-14,285.68
2019-08-15,286.57
2019-08-16,280.36
2019-08-17,293.19
2019-08-18,302.76
2019-08-19,300.63
2019-08-20,290.52
2019-08-21,295.94
2019-08-22,312.26
2019-08-23,283.48
2019-08-24,306.37
2019-08-25,283.80
2019-08-26,277.86
2019-08-27,291.38
2019-08-28,295.94
2019-08-29,299.35
2019-08-30,336.66
2019-08-31,322.54
2019-09-01,287.02
2019-09-02,306.51
2019-09-03,327.15
2019-09-04,319.13
2019-09-05,309.44
2019-09-06,300.97
2019-09-07,278.14
2019-09-08,300.97
2019-09-09,332.88
2019-09-10,331.28
2019-09-11,295.44
2019-09-12,298.03
2019-09-13,300.97
2019-09-14,279.15
2019-09-15,274.90
2019-09-16,300.43
2019-09-17,293.04
2019-09-18,282.38
2019-09-19,293.29
2019-09-20,309.41
2019-09-21,297.85
2019-09-22,300.97
2019-09-23,310.12
2019-09-24,323.81
2019-09-25,308.39
2019-09-26,288.79
2019-09-27,291.24
2019-09-28,289.68
2019-09-29,300.97
2019-09-30,296.85
2019-10-01,286.42
2019-10-02,292.45
2019-10-03,294.34
2019-10-04,302.35
2019-10-05,292.69
2019-10-06,316.09
2019-10-07,311.43
2019-10-08,295.82
2019-10-09,305.39
2019-10-10,295.82
2019-10-11,290.99
2019-10-12,285.62
2019-10-13,288.44
2019-10-14,284.86
2019-10-15,295.82
2019-10-16,288.67
2019-10-17,318.06
2019-10-18,275.25
2019-10-19,274.73
2019-10-20,295.69
2019-10-21,296.28
2019-10-22,295.82
2019-10-23,318.66
2019-10-24,295.82
2019-10-25,297.48
2019-10-26,293.46
2019-10-27,287.19
2019-10-28,312.31
2019-10-29,295.82
2019-10-30,290.79
2019-10-31,295.82
2019-11-01,287.75
2019-11-02,284.10
2019-11-03,287.40
2019-11-04,300.57
2019-11-05,298.27
2019-11-06,303.22
2019-11-07,285.12
2019-11-08,293.17
2019-11-09,285.12
2019-11-10,296.76
2019-11-11,285.12
2019-11-12,272.44
2019-11-13,267.09
2019-11-14,285.12
2019-11-15,261.74
2019-11-16,285.12
2019-11-17,297.94
2019-11-18,299.62
2019-11-19,295.01
2019-11-20,290.26
2019-11-21,262.07
2019-11-22,273.74
2019-11-23,285.12
2019-11-24,263.00
2019-11-25,285.12
2019-11-26,277.04
2019-11-27,296.96
2019-11-28,286.35
2019-11-29,278.10
2019-11-30,285.12
2019-12-01,283.51
2019-12-02,281.47
2019-12-03,295.96
2019-12-04,301.62
2019-12-05,299.89
2019-12-06,284.45
2019-12-07,289.25
2019-12-08,294.05
2019-12-09,281.47
2019-12-10,286.22
2019-12-11,281.47
2019-12-12,289.42
2019-12-13,278.50
2019-12-14,266.69
2019-12-15,296.23
2019-12-16,281.47
2019-12-17,298.73
2019-12-18,281.47
2019-12-19,271.93
2019-12-20,287.60
2019-12-21,298.72
2019-12-22,301.92
2019-12-23,275.14
2019-12-24,276.49
2019-12-25,281.47
2019-12-26,265.03
2019-12-27,281.47
2019-12-28,253.65
2019-12-29,246.33
2019-12-30,251.28
2019-12-31,262.77
2020-01-01,269.34
2020-01-02,266.02
2020-01-03,269.34
2020-01-04,262.08
2020-01-05,258.73
2020-01-06,284.89
2020-01-07,276.00
2020-01-08,272.46
2020-01-09,265.78
2020-01-10,269.34
2020-01-11,256.30
2020-01-12,269.34
2020-01-13,263.30
2020-01-14,261.62
2020-01-15,266.93
2020-01-16,270.93
2020-01-17,269.34
2020-01-18,271.06
2020-01-19,269.34
2020-01-20,259.11
2020-01-21,266.23
2020-01-22,265.70
2020-01-23,265.12
2020-01-24,266.12
2020-01-25,267.87
2020-01-26,269.34
2020-01-27,281.54
2020-01-28,269.34
2020-01-29,268.81
2020-01-30,293.96
2020-01-31,284.17
2020-02-01,273.69
2020-02-02,270.18
2020-02-03,263.59
2020-02-04,270.18
2020-02-05,258.42
2020-02-06,269.84
2020-02-07,254.98
2020-02-08,259.53
2020-02-09,260.70
2020-02-10,279.33
2020-02-11,270.18
2020-02-12,270.86
2020-02-13,270.18
2020-02-14,269.40
2020-02-15,268.74
2020-02-16,257.94
2020-02-17,254.26
2020-02-18,270.18
2020-02-19,256.17
2020-02-20,270.18
2020-02-21,273.84
2020-02-22,277.25
2020-02-23,288.21
2020-02-24,281.89
2020-02-25,294.39
2020-02-26,282.19
2020-02-27,270.18
2020-02-28,278.60
2020-02-29,270.18
2020-03-01,272.88
2020-03-02,267.90
2020-03-03,268.45
2020-03-04,262.18
2020-03-05,262.74
2020-03-06,274.20
2020-03-07,262.74
2020-03-08,273.46
2020-03-09,275.67
2020-03-10,260.86
2020-03-11,254.58
2020-03-12,262.98
2020-03-13,257.36
2020-03-14,262.74
2020-03-15,248.99
2020-03-16,262.74
2020-03-17,249.70
2020-03-18,267.61
2020-03-19,270.93
2020-03-20,267.82
2020-03-21,262.74
2020-03-22,259.59
2020-03-23,262.74
2020-03-24,255.64
2020-03-25,263.82
2020-03-26,268.72
2020-03-27,258.52
2020-03-28,264.92
2020-03-29,252.92
2020-03-30,262.74
2020-03-31,246.17
2020-04-01,261.60
2020-04-02,250.64
2020-04-03,247.30
2020-04-04,245.12
2020-04-05,251.04
2020-04-06,261.60
2020-04-07,254.73
2020-04-08,261.60
2020-04-09,272.64
2020-04-10,263.35
2020-04-11,255.69
2020-04-12,264.30
2020-04-13,297.37
2020-04-14,283.21
2020-04-15,261.60
2020-04-16,275.32
2020-04-17,261.60
2020-04-18,263.03
2020-04-19,267.58
2020-04-20,262.85
2020-04-21,257.26
2020-04-22,261.60
2020-04-23,254.59
2020-04-24,261.60
2020-04-25,250.38
2020-04-26,273.55
2020-04-27,254.39
2020-04-28,265.39
2020-04-29,253.51
2020-04-30,253.46
2020-05-01,264.90
2020-05-02,246.32
2020-05-03,264.90
2020-05-04,268.44
2020-05-05,266.91
2020-05-06,280.53
2020-05-07,277.39
2020-05-08,264.90
2020-05-09,255.34
2020-05-10,264.90
2020-05-11,276.44
2020-05-12,284.50
2020-05-13,275.34
2020-05-14,267.91
2020-05-15,262.38
2020-05-16,254.66
2020-05-17,264.90
2020-05-18,238.75
2020-05-19,264.90
2020-05-20,254.57
2020-05-21,269.10
2020-05-22,284.26
2020-05-23,261.22
2020-05-24,264.90
2020-05-25,247.07
2020-05-26,264.90
2020-05-27,250.61
2020-05-28,260.47
2020-05-29,260.06
2020-05-30,256.21
2020-05-31,294.31
