hora,sza,uv,pre vitamina D
11.0000,30.562,8.190E+00,4.025E-01
11.0167,30.373,8.232E+00,4.047E-01
11.0333,30.184,8.275E+00,4.069E-01
11.0500,29.996,8.317E+00,4.091E-01
11.0667,29.808,8.358E+00,4.113E-01
11.0833,29.620,8.400E+00,4.135E-01
11.1000,29.433,8.441E+00,4.157E-01
11.1167,29.247,8.483E+00,4.178E-01
11.1333,29.060,8.524E+00,4.200E-01
11.1500,28.875,8.564E+00,4.221E-01
11.1667,28.690,8.601E+00,4.240E-01
11.1833,28.506,8.645E+00,4.263E-01
11.2000,28.322,8.685E+00,4.284E-01
11.2167,28.138,8.725E+00,4.305E-01
11.2333,27.955,8.765E+00,4.326E-01
11.2500,27.773,8.804E+00,4.346E-01
11.2667,27.592,8.843E+00,4.367E-01
11.2833,27.410,8.882E+00,4.387E-01
11.3000,27.230,8.920E+00,4.407E-01
11.3167,27.050,8.959E+00,4.427E-01
11.3333,26.871,8.997E+00,4.447E-01
11.3500,26.693,9.035E+00,4.467E-01
11.3667,26.515,9.072E+00,4.486E-01
11.3833,26.337,9.109E+00,4.506E-01
11.4000,26.161,9.146E+00,4.525E-01
11.4167,25.985,9.183E+00,4.544E-01
11.4333,25.810,9.218E+00,4.562E-01
11.4500,25.636,9.255E+00,4.582E-01
11.4667,25.462,9.291E+00,4.601E-01
11.4833,25.289,9.327E+00,4.619E-01
11.5000,25.117,9.362E+00,4.637E-01
11.5167,24.946,9.397E+00,4.656E-01
11.5333,24.776,9.431E+00,4.674E-01
11.5500,24.606,9.464E+00,4.691E-01
11.5667,24.437,9.500E+00,4.709E-01
11.5833,24.269,9.529E+00,4.724E-01
11.6000,24.102,9.567E+00,4.744E-01
11.6167,23.937,9.600E+00,4.761E-01
11.6333,23.772,9.625E+00,4.772E-01
11.6500,23.607,9.665E+00,4.795E-01
11.6667,23.444,9.695E+00,4.811E-01
11.6833,23.282,9.728E+00,4.828E-01
11.7000,23.120,9.760E+00,4.845E-01
11.7167,22.961,9.790E+00,4.860E-01
11.7333,22.802,9.822E+00,4.877E-01
11.7500,22.644,9.852E+00,4.893E-01
11.7667,22.487,9.882E+00,4.908E-01
11.7833,22.331,9.911E+00,4.924E-01
11.8000,22.177,9.940E+00,4.939E-01
11.8167,22.024,9.969E+00,4.954E-01
11.8333,21.871,9.998E+00,4.969E-01
11.8500,21.720,1.003E+01,4.983E-01
11.8667,21.571,1.005E+01,4.998E-01
11.8833,21.422,1.008E+01,5.012E-01
11.9000,21.276,1.011E+01,5.026E-01
11.9167,21.130,1.013E+01,5.040E-01
11.9333,20.985,1.016E+01,5.054E-01
11.9500,20.842,1.019E+01,5.067E-01
11.9667,20.701,1.021E+01,5.078E-01
11.9833,20.560,1.024E+01,5.093E-01
12.0000,20.423,1.026E+01,5.106E-01
12.0167,20.285,1.029E+01,5.119E-01
12.0333,20.150,1.031E+01,5.131E-01
12.0500,20.016,1.033E+01,5.144E-01
12.0667,19.883,1.036E+01,5.156E-01
12.0833,19.754,1.038E+01,5.167E-01
12.1000,19.624,1.040E+01,5.179E-01
12.1167,19.497,1.042E+01,5.190E-01
12.1333,19.371,1.045E+01,5.202E-01
12.1500,19.248,1.047E+01,5.213E-01
12.1667,19.126,1.049E+01,5.223E-01
12.1833,19.007,1.050E+01,5.231E-01
12.2000,18.888,1.053E+01,5.244E-01
12.2167,18.772,1.055E+01,5.254E-01
12.2333,18.658,1.057E+01,5.264E-01
12.2500,18.545,1.059E+01,5.274E-01
12.2667,18.436,1.060E+01,5.283E-01
12.2833,18.328,1.062E+01,5.292E-01
12.3000,18.222,1.064E+01,5.301E-01
12.3167,18.118,1.066E+01,5.310E-01
12.3333,18.016,1.067E+01,5.319E-01
12.3500,17.916,1.069E+01,5.327E-01
12.3667,17.820,1.070E+01,5.335E-01
12.3833,17.725,1.071E+01,5.342E-01
12.4000,17.632,1.073E+01,5.350E-01
12.4167,17.542,1.074E+01,5.354E-01
12.4333,17.454,1.076E+01,5.365E-01
12.4500,17.369,1.078E+01,5.372E-01
12.4667,17.287,1.079E+01,5.379E-01
12.4833,17.207,1.080E+01,5.385E-01
12.5000,17.129,1.081E+01,5.392E-01
12.5167,17.054,1.082E+01,5.398E-01
12.5333,16.981,1.084E+01,5.404E-01
12.5500,16.912,1.085E+01,5.409E-01
12.5667,16.845,1.086E+01,5.414E-01
12.5833,16.781,1.087E+01,5.420E-01
12.6000,16.719,1.088E+01,5.424E-01
12.6167,16.660,1.088E+01,5.429E-01
12.6333,16.604,1.089E+01,5.433E-01
12.6500,16.552,1.090E+01,5.438E-01
12.6667,16.501,1.091E+01,5.441E-01
12.6833,16.454,1.092E+01,5.445E-01
12.7000,16.409,1.092E+01,5.449E-01
12.7167,16.368,1.093E+01,5.452E-01
12.7333,16.329,1.093E+01,5.455E-01
12.7500,16.295,1.094E+01,5.458E-01
12.7667,16.262,1.094E+01,5.460E-01
12.7833,16.233,1.095E+01,5.462E-01
12.8000,16.206,1.095E+01,5.464E-01
12.8167,16.183,1.096E+01,5.466E-01
12.8333,16.164,1.096E+01,5.468E-01
12.8500,16.146,1.096E+01,5.469E-01
12.8667,16.132,1.096E+01,5.470E-01
12.8833,16.121,1.097E+01,5.471E-01
12.9000,16.113,1.097E+01,5.471E-01
12.9167,16.109,1.097E+01,5.472E-01
12.9333,16.108,1.097E+01,5.472E-01
12.9500,16.110,1.097E+01,5.472E-01
12.9667,16.114,1.097E+01,5.471E-01
12.9833,16.122,1.097E+01,5.471E-01
13.0000,16.133,1.096E+01,5.470E-01
13.0167,16.148,1.096E+01,5.469E-01
13.0333,16.165,1.096E+01,5.468E-01
13.0500,16.185,1.096E+01,5.466E-01
13.0667,16.209,1.095E+01,5.464E-01
13.0833,16.235,1.095E+01,5.462E-01
13.1000,16.264,1.094E+01,5.460E-01
13.1167,16.298,1.094E+01,5.457E-01
13.1333,16.333,1.093E+01,5.455E-01
13.1500,16.372,1.093E+01,5.452E-01
13.1667,16.413,1.092E+01,5.448E-01
13.1833,16.458,1.092E+01,5.445E-01
13.2000,16.505,1.091E+01,5.441E-01
13.2167,16.556,1.090E+01,5.437E-01
13.2333,16.609,1.089E+01,5.433E-01
13.2500,16.665,1.088E+01,5.429E-01
13.2667,16.724,1.088E+01,5.424E-01
13.2833,16.786,1.087E+01,5.419E-01
13.3000,16.851,1.086E+01,5.414E-01
13.3167,16.918,1.085E+01,5.409E-01
13.3333,16.988,1.083E+01,5.403E-01
13.3500,17.060,1.082E+01,5.397E-01
13.3667,17.135,1.081E+01,5.391E-01
13.3833,17.213,1.080E+01,5.385E-01
13.4000,17.294,1.079E+01,5.378E-01
13.4167,17.377,1.077E+01,5.372E-01
13.4333,17.462,1.076E+01,5.365E-01
13.4500,17.550,1.074E+01,5.353E-01
13.4667,17.640,1.073E+01,5.349E-01
13.4833,17.732,1.071E+01,5.341E-01
13.5000,17.828,1.070E+01,5.334E-01
13.5167,17.925,1.069E+01,5.326E-01
13.5333,18.025,1.067E+01,5.318E-01
13.5500,18.126,1.065E+01,5.309E-01
13.5667,18.230,1.064E+01,5.301E-01
13.5833,18.337,1.062E+01,5.291E-01
13.6000,18.445,1.060E+01,5.282E-01
13.6167,18.555,1.058E+01,5.273E-01
13.6333,18.667,1.056E+01,5.263E-01
13.6500,18.782,1.055E+01,5.253E-01
13.6667,18.898,1.053E+01,5.243E-01
13.6833,19.017,1.050E+01,5.230E-01
13.7000,19.137,1.049E+01,5.222E-01
13.7167,19.259,1.047E+01,5.211E-01
13.7333,19.382,1.044E+01,5.200E-01
13.7500,19.508,1.042E+01,5.189E-01
13.7667,19.636,1.040E+01,5.178E-01
13.7833,19.765,1.038E+01,5.166E-01
13.8000,19.895,1.036E+01,5.154E-01
13.8167,20.028,1.033E+01,5.142E-01
13.8333,20.162,1.031E+01,5.130E-01
13.8500,20.297,1.028E+01,5.118E-01
13.8667,20.435,1.026E+01,5.105E-01
13.8833,20.573,1.024E+01,5.092E-01
13.9000,20.713,1.021E+01,5.078E-01
13.9167,20.855,1.018E+01,5.066E-01
13.9333,20.998,1.016E+01,5.052E-01
13.9500,21.142,1.013E+01,5.039E-01
13.9667,21.289,1.011E+01,5.025E-01
13.9833,21.436,1.008E+01,5.011E-01
14.0000,21.584,1.005E+01,4.996E-01
14.0167,21.734,1.002E+01,4.982E-01
14.0333,21.885,9.995E+00,4.967E-01
14.0500,22.038,9.967E+00,4.952E-01
14.0667,22.191,9.938E+00,4.937E-01
14.0833,22.345,9.908E+00,4.922E-01
14.1000,22.501,9.879E+00,4.907E-01
14.1167,22.658,9.849E+00,4.891E-01
14.1333,22.816,9.819E+00,4.875E-01
14.1500,22.976,9.788E+00,4.859E-01
14.1667,23.136,9.757E+00,4.843E-01
14.1833,23.297,9.725E+00,4.827E-01
14.2000,23.459,9.692E+00,4.810E-01
14.2167,23.622,9.662E+00,4.794E-01
14.2333,23.786,9.624E+00,4.773E-01
14.2500,23.952,9.596E+00,4.760E-01
14.2667,24.118,9.563E+00,4.742E-01
14.2833,24.285,9.522E+00,4.721E-01
14.3000,24.453,9.496E+00,4.707E-01
14.3167,24.622,9.461E+00,4.689E-01
14.3333,24.792,9.428E+00,4.672E-01
14.3500,24.962,9.393E+00,4.654E-01
14.3667,25.133,9.358E+00,4.636E-01
14.3833,25.305,9.323E+00,4.617E-01
14.4000,25.478,9.288E+00,4.599E-01
14.4167,25.652,9.252E+00,4.580E-01
14.4333,25.827,9.216E+00,4.561E-01
14.4500,26.002,9.179E+00,4.542E-01
14.4667,26.178,9.142E+00,4.523E-01
14.4833,26.354,9.105E+00,4.504E-01
14.5000,26.531,9.067E+00,4.483E-01
14.5167,26.710,9.031E+00,4.464E-01
14.5333,26.889,8.993E+00,4.445E-01
14.5500,27.068,8.955E+00,4.425E-01
14.5667,27.248,8.916E+00,4.405E-01
14.5833,27.428,8.878E+00,4.385E-01
14.6000,27.609,8.839E+00,4.364E-01
14.6167,27.791,8.800E+00,4.344E-01
14.6333,27.974,8.760E+00,4.323E-01
14.6500,28.157,8.721E+00,4.303E-01
