hora,sza,uv,pre vitamina D
11.0000,41.523,6.292E+00,3.014E-01
11.0167,41.370,6.329E+00,3.033E-01
11.0333,41.220,6.368E+00,3.054E-01
11.0500,41.070,6.403E+00,3.071E-01
11.0667,40.921,6.443E+00,3.093E-01
11.0833,40.773,6.480E+00,3.113E-01
11.1000,40.625,6.517E+00,3.133E-01
11.1167,40.478,6.554E+00,3.152E-01
11.1333,40.332,6.591E+00,3.172E-01
11.1500,40.187,6.627E+00,3.191E-01
11.1667,40.043,6.664E+00,3.210E-01
11.1833,39.900,6.698E+00,3.229E-01
11.2000,39.757,6.735E+00,3.248E-01
11.2167,39.615,6.771E+00,3.267E-01
11.2333,39.474,6.807E+00,3.286E-01
11.2500,39.334,6.842E+00,3.304E-01
11.2667,39.196,6.877E+00,3.323E-01
11.2833,39.058,6.912E+00,3.341E-01
11.3000,38.919,6.944E+00,3.358E-01
11.3167,38.783,6.981E+00,3.378E-01
11.3333,38.648,7.015E+00,3.396E-01
11.3500,38.514,7.049E+00,3.414E-01
11.3667,38.381,7.082E+00,3.432E-01
11.3833,38.249,7.116E+00,3.449E-01
11.4000,38.116,7.149E+00,3.467E-01
11.4167,37.986,7.182E+00,3.485E-01
11.4333,37.856,7.215E+00,3.502E-01
11.4500,37.728,7.246E+00,3.518E-01
11.4667,37.601,7.279E+00,3.536E-01
11.4833,37.475,7.311E+00,3.553E-01
11.5000,37.348,7.343E+00,3.570E-01
11.5167,37.224,7.375E+00,3.586E-01
11.5333,37.101,7.404E+00,3.602E-01
11.5500,36.979,7.435E+00,3.618E-01
11.5667,36.858,7.461E+00,3.630E-01
11.5833,36.737,7.498E+00,3.651E-01
11.6000,36.618,7.528E+00,3.667E-01
11.6167,36.500,7.557E+00,3.683E-01
11.6333,36.384,7.586E+00,3.698E-01
11.6500,36.269,7.616E+00,3.714E-01
11.6667,36.154,7.644E+00,3.729E-01
11.6833,36.040,7.673E+00,3.744E-01
11.7000,35.928,7.699E+00,3.757E-01
11.7167,35.817,7.729E+00,3.774E-01
11.7333,35.708,7.757E+00,3.788E-01
11.7500,35.600,7.784E+00,3.803E-01
11.7667,35.491,7.811E+00,3.817E-01
11.7833,35.386,7.837E+00,3.831E-01
11.8000,35.281,7.861E+00,3.844E-01
11.8167,35.178,7.890E+00,3.859E-01
11.8333,35.076,7.916E+00,3.872E-01
11.8500,34.975,7.941E+00,3.886E-01
11.8667,34.874,7.966E+00,3.899E-01
11.8833,34.776,7.991E+00,3.912E-01
11.9000,34.679,8.015E+00,3.925E-01
11.9167,34.583,8.039E+00,3.937E-01
11.9333,34.489,8.063E+00,3.950E-01
11.9500,34.396,8.084E+00,3.961E-01
11.9667,34.303,8.109E+00,3.974E-01
11.9833,34.213,8.132E+00,3.986E-01
12.0000,34.124,8.153E+00,3.998E-01
12.0167,34.037,8.176E+00,4.010E-01
12.0333,33.951,8.197E+00,4.021E-01
12.0500,33.865,8.218E+00,4.032E-01
12.0667,33.782,8.239E+00,4.043E-01
12.0833,33.700,8.260E+00,4.054E-01
12.1000,33.620,8.280E+00,4.064E-01
12.1167,33.541,8.299E+00,4.075E-01
12.1333,33.463,8.318E+00,4.085E-01
12.1500,33.386,8.338E+00,4.095E-01
12.1667,33.311,8.356E+00,4.105E-01
12.1833,33.238,8.374E+00,4.114E-01
12.2000,33.167,8.392E+00,4.124E-01
12.2167,33.097,8.409E+00,4.133E-01
12.2333,33.029,8.421E+00,4.139E-01
12.2500,32.960,8.443E+00,4.151E-01
12.2667,32.895,8.458E+00,4.158E-01
12.2833,32.831,8.475E+00,4.168E-01
12.3000,32.769,8.485E+00,4.172E-01
12.3167,32.708,8.505E+00,4.184E-01
12.3333,32.648,8.520E+00,4.192E-01
12.3500,32.590,8.532E+00,4.198E-01
12.3667,32.534,8.548E+00,4.206E-01
12.3833,32.480,8.562E+00,4.213E-01
12.4000,32.427,8.574E+00,4.220E-01
12.4167,32.376,8.587E+00,4.227E-01
12.4333,32.325,8.600E+00,4.234E-01
12.4500,32.277,8.608E+00,4.237E-01
12.4667,32.231,8.623E+00,4.246E-01
12.4833,32.186,8.634E+00,4.251E-01
12.5000,32.144,8.645E+00,4.257E-01
12.5167,32.101,8.654E+00,4.262E-01
12.5333,32.061,8.665E+00,4.268E-01
12.5500,32.023,8.674E+00,4.273E-01
12.5667,31.987,8.683E+00,4.277E-01
12.5833,31.953,8.684E+00,4.276E-01
12.6000,31.920,8.699E+00,4.285E-01
12.6167,31.887,8.705E+00,4.288E-01
12.6333,31.858,8.712E+00,4.292E-01
12.6500,31.830,8.718E+00,4.294E-01
12.6667,31.804,8.719E+00,4.295E-01
12.6833,31.780,8.732E+00,4.303E-01
12.7000,31.757,8.739E+00,4.307E-01
12.7167,31.735,8.745E+00,4.310E-01
12.7333,31.716,8.750E+00,4.312E-01
12.7500,31.698,8.754E+00,4.315E-01
12.7667,31.683,8.758E+00,4.317E-01
12.7833,31.669,8.760E+00,4.318E-01
12.8000,31.655,8.763E+00,4.320E-01
12.8167,31.645,8.765E+00,4.321E-01
12.8333,31.636,8.767E+00,4.322E-01
12.8500,31.629,8.770E+00,4.323E-01
12.8667,31.624,8.771E+00,4.324E-01
12.8833,31.620,8.772E+00,4.324E-01
12.9000,31.617,8.773E+00,4.325E-01
12.9167,31.617,8.773E+00,4.325E-01
12.9333,31.619,8.773E+00,4.325E-01
12.9500,31.623,8.772E+00,4.324E-01
12.9667,31.628,8.770E+00,4.323E-01
12.9833,31.635,8.768E+00,4.322E-01
13.0000,31.642,8.766E+00,4.321E-01
13.0167,31.653,8.763E+00,4.320E-01
13.0333,31.665,8.761E+00,4.319E-01
13.0500,31.679,8.759E+00,4.317E-01
13.0667,31.695,8.755E+00,4.315E-01
13.0833,31.710,8.751E+00,4.313E-01
13.1000,31.730,8.746E+00,4.311E-01
13.1167,31.751,8.741E+00,4.308E-01
13.1333,31.773,8.734E+00,4.304E-01
13.1500,31.798,8.722E+00,4.296E-01
13.1667,31.824,8.717E+00,4.294E-01
13.1833,31.850,8.715E+00,4.294E-01
13.2000,31.879,8.706E+00,4.288E-01
13.2167,31.911,8.702E+00,4.287E-01
13.2333,31.944,8.687E+00,4.278E-01
13.2500,31.978,8.684E+00,4.278E-01
13.2667,32.013,8.677E+00,4.274E-01
13.2833,32.051,8.668E+00,4.269E-01
13.3000,32.091,8.657E+00,4.264E-01
13.3167,32.132,8.648E+00,4.259E-01
13.3333,32.175,8.637E+00,4.253E-01
13.3500,32.219,8.626E+00,4.247E-01
13.3667,32.264,8.613E+00,4.240E-01
13.3833,32.312,8.602E+00,4.235E-01
13.4000,32.362,8.591E+00,4.229E-01
13.4167,32.413,8.577E+00,4.222E-01
13.4333,32.466,8.565E+00,4.215E-01
13.4500,32.520,8.552E+00,4.208E-01
13.4667,32.575,8.537E+00,4.201E-01
13.4833,32.632,8.524E+00,4.194E-01
13.5000,32.692,8.510E+00,4.186E-01
13.5167,32.752,8.487E+00,4.172E-01
13.5333,32.815,8.479E+00,4.170E-01
13.5500,32.877,8.460E+00,4.160E-01
13.5667,32.943,8.448E+00,4.153E-01
13.5833,33.010,8.431E+00,4.144E-01
13.6000,33.078,8.414E+00,4.136E-01
13.6167,33.148,8.397E+00,4.126E-01
13.6333,33.220,8.379E+00,4.117E-01
13.6500,33.291,8.361E+00,4.108E-01
13.6667,33.366,8.343E+00,4.098E-01
13.6833,33.442,8.324E+00,4.088E-01
13.7000,33.519,8.305E+00,4.078E-01
13.7167,33.598,8.285E+00,4.067E-01
13.7333,33.679,8.265E+00,4.057E-01
13.7500,33.759,8.245E+00,4.046E-01
13.7667,33.843,8.224E+00,4.035E-01
13.7833,33.927,8.203E+00,4.024E-01
13.8000,34.013,8.182E+00,4.013E-01
13.8167,34.101,8.152E+00,3.997E-01
13.8333,34.189,8.138E+00,3.990E-01
13.8500,34.279,8.115E+00,3.978E-01
13.8667,34.370,8.093E+00,3.966E-01
13.8833,34.463,8.069E+00,3.954E-01
13.9000,34.558,8.046E+00,3.941E-01
13.9167,34.653,8.022E+00,3.928E-01
13.9333,34.749,7.998E+00,3.916E-01
13.9500,34.847,7.973E+00,3.903E-01
13.9667,34.947,7.948E+00,3.890E-01
13.9833,35.048,7.923E+00,3.876E-01
14.0000,35.150,7.897E+00,3.863E-01
14.0167,35.252,7.870E+00,3.849E-01
14.0333,35.357,7.841E+00,3.833E-01
14.0500,35.463,7.819E+00,3.821E-01
14.0667,35.570,7.792E+00,3.807E-01
14.0833,35.678,7.765E+00,3.793E-01
14.1000,35.788,7.737E+00,3.778E-01
14.1167,35.898,7.709E+00,3.763E-01
14.1333,36.010,7.681E+00,3.748E-01
14.1500,36.123,7.653E+00,3.733E-01
14.1667,36.237,7.624E+00,3.718E-01
14.1833,36.352,7.590E+00,3.699E-01
14.2000,36.469,7.566E+00,3.687E-01
14.2167,36.586,7.536E+00,3.672E-01
14.2333,36.704,7.506E+00,3.656E-01
14.2500,36.824,7.476E+00,3.640E-01
14.2667,36.945,7.444E+00,3.623E-01
14.2833,37.067,7.412E+00,3.606E-01
14.3000,37.190,7.382E+00,3.591E-01
14.3167,37.314,7.350E+00,3.573E-01
14.3333,37.439,7.320E+00,3.558E-01
14.3500,37.565,7.289E+00,3.541E-01
14.3667,37.693,7.257E+00,3.524E-01
14.3833,37.821,7.223E+00,3.506E-01
14.4000,37.950,7.192E+00,3.490E-01
14.4167,38.080,7.156E+00,3.471E-01
14.4333,38.211,7.126E+00,3.455E-01
14.4500,38.344,7.092E+00,3.437E-01
14.4667,38.477,7.059E+00,3.419E-01
14.4833,38.611,7.025E+00,3.401E-01
14.5000,38.746,6.988E+00,3.381E-01
14.5167,38.882,6.957E+00,3.365E-01
14.5333,39.019,6.922E+00,3.347E-01
14.5500,39.157,6.887E+00,3.328E-01
14.5667,39.296,6.852E+00,3.310E-01
14.5833,39.435,6.817E+00,3.291E-01
14.6000,39.575,6.782E+00,3.273E-01
14.6167,39.717,6.746E+00,3.254E-01
14.6333,39.860,6.710E+00,3.235E-01
14.6500,40.003,6.674E+00,3.216E-01
14.6667,40.147,6.633E+00,3.194E-01
14.6833,40.291,6.602E+00,3.177E-01
14.7000,40.437,6.565E+00,3.158E-01
14.7167,40.584,6.528E+00,3.138E-01
14.7333,40.731,6.486E+00,3.114E-01
14.7500,40.879,6.454E+00,3.099E-01
14.7667,41.028,6.417E+00,3.079E-01
14.7833,41.177,6.379E+00,3.060E-01
14.8000,41.328,6.342E+00,3.040E-01
14.8167,41.480,6.304E+00,3.020E-01
14.8333,41.632,6.265E+00,2.999E-01
14.8500,41.785,6.228E+00,2.979E-01
14.8667,41.937,6.190E+00,2.959E-01
14.8833,42.092,6.151E+00,2.939E-01
14.9000,42.247,6.113E+00,2.918E-01
14.9167,42.403,6.074E+00,2.898E-01
14.9333,42.559,6.035E+00,2.877E-01
14.9500,42.717,5.996E+00,2.857E-01
14.9667,42.874,5.957E+00,2.836E-01
14.9833,43.032,5.918E+00,2.815E-01
