hora,sza,uv,pre vitamina D
11.0000,49.500,4.249E+00,1.936E-01
11.0167,49.370,4.277E+00,1.950E-01
11.0333,49.240,4.306E+00,1.965E-01
11.0500,49.109,4.335E+00,1.981E-01
11.0667,48.979,4.364E+00,1.996E-01
11.0833,48.849,4.393E+00,2.011E-01
11.1000,48.720,4.421E+00,2.026E-01
11.1167,48.592,4.450E+00,2.041E-01
11.1333,48.463,4.479E+00,2.056E-01
11.1500,48.335,4.508E+00,2.071E-01
11.1667,48.207,4.536E+00,2.086E-01
11.1833,48.080,4.565E+00,2.101E-01
11.2000,47.953,4.594E+00,2.116E-01
11.2167,47.827,4.621E+00,2.131E-01
11.2333,47.700,4.650E+00,2.146E-01
11.2500,47.574,4.678E+00,2.161E-01
11.2667,47.449,4.708E+00,2.176E-01
11.2833,47.324,4.737E+00,2.191E-01
11.3000,47.200,4.765E+00,2.206E-01
11.3167,47.075,4.793E+00,2.221E-01
11.3333,46.951,4.822E+00,2.236E-01
11.3500,46.828,4.850E+00,2.251E-01
11.3667,46.704,4.879E+00,2.266E-01
11.3833,46.582,4.907E+00,2.281E-01
11.4000,46.460,4.935E+00,2.295E-01
11.4167,46.338,4.963E+00,2.310E-01
11.4333,46.217,4.991E+00,2.325E-01
11.4500,46.096,5.020E+00,2.340E-01
11.4667,45.975,5.048E+00,2.355E-01
11.4833,45.855,5.076E+00,2.370E-01
11.5000,45.736,5.100E+00,2.382E-01
11.5167,45.617,5.131E+00,2.399E-01
11.5333,45.498,5.159E+00,2.413E-01
11.5500,45.380,5.187E+00,2.428E-01
11.5667,45.262,5.214E+00,2.443E-01
11.5833,45.146,5.242E+00,2.457E-01
11.6000,45.029,5.269E+00,2.472E-01
11.6167,44.912,5.296E+00,2.486E-01
11.6333,44.797,5.324E+00,2.500E-01
11.6500,44.681,5.352E+00,2.515E-01
11.6667,44.566,5.379E+00,2.529E-01
11.6833,44.453,5.405E+00,2.543E-01
11.7000,44.339,5.433E+00,2.558E-01
11.7167,44.225,5.460E+00,2.572E-01
11.7333,44.112,5.487E+00,2.586E-01
11.7500,44.000,5.513E+00,2.600E-01
11.7667,43.889,5.540E+00,2.614E-01
11.7833,43.778,5.566E+00,2.628E-01
11.8000,43.667,5.593E+00,2.642E-01
11.8167,43.557,5.619E+00,2.656E-01
11.8333,43.447,5.646E+00,2.670E-01
11.8500,43.338,5.672E+00,2.684E-01
11.8667,43.230,5.698E+00,2.697E-01
11.8833,43.122,5.723E+00,2.711E-01
11.9000,43.015,5.749E+00,2.725E-01
11.9167,42.908,5.775E+00,2.738E-01
11.9333,42.802,5.801E+00,2.752E-01
11.9500,42.696,5.822E+00,2.762E-01
11.9667,42.592,5.851E+00,2.778E-01
11.9833,42.487,5.877E+00,2.792E-01
12.0000,42.383,5.902E+00,2.805E-01
12.0167,42.280,5.927E+00,2.818E-01
12.0333,42.177,5.952E+00,2.831E-01
12.0500,42.076,5.975E+00,2.844E-01
12.0667,41.975,6.001E+00,2.857E-01
12.0833,41.874,6.025E+00,2.870E-01
12.1000,41.773,6.050E+00,2.883E-01
12.1167,41.674,6.074E+00,2.896E-01
12.1333,41.575,6.098E+00,2.909E-01
12.1500,41.477,6.122E+00,2.921E-01
12.1667,41.380,6.145E+00,2.934E-01
12.1833,41.283,6.168E+00,2.945E-01
12.2000,41.186,6.193E+00,2.958E-01
12.2167,41.091,6.216E+00,2.971E-01
12.2333,40.996,6.239E+00,2.983E-01
12.2500,40.902,6.262E+00,2.995E-01
12.2667,40.809,6.285E+00,3.007E-01
12.2833,40.716,6.308E+00,3.019E-01
12.3000,40.623,6.330E+00,3.031E-01
12.3167,40.532,6.353E+00,3.043E-01
12.3333,40.442,6.375E+00,3.055E-01
12.3500,40.352,6.397E+00,3.066E-01
12.3667,40.262,6.419E+00,3.078E-01
12.3833,40.173,6.441E+00,3.089E-01
12.4000,40.085,6.462E+00,3.101E-01
12.4167,39.998,6.484E+00,3.112E-01
12.4333,39.912,6.505E+00,3.123E-01
12.4500,39.827,6.526E+00,3.134E-01
12.4667,39.742,6.545E+00,3.144E-01
12.4833,39.657,6.567E+00,3.156E-01
12.5000,39.574,6.588E+00,3.167E-01
12.5167,39.492,6.608E+00,3.177E-01
12.5333,39.410,6.628E+00,3.188E-01
12.5500,39.329,6.648E+00,3.199E-01
12.5667,39.248,6.668E+00,3.209E-01
12.5833,39.168,6.682E+00,3.216E-01
12.6000,39.089,6.706E+00,3.230E-01
12.6167,39.012,6.726E+00,3.240E-01
12.6333,38.935,6.745E+00,3.250E-01
12.6500,38.859,6.764E+00,3.260E-01
12.6667,38.783,6.782E+00,3.269E-01
12.6833,38.708,6.801E+00,3.279E-01
12.7000,38.634,6.819E+00,3.289E-01
12.7167,38.562,6.837E+00,3.298E-01
12.7333,38.489,6.855E+00,3.308E-01
12.7500,38.418,6.872E+00,3.317E-01
12.7667,38.347,6.890E+00,3.326E-01
12.7833,38.277,6.907E+00,3.335E-01
12.8000,38.209,6.924E+00,3.344E-01
12.8167,38.141,6.940E+00,3.353E-01
12.8333,38.074,6.957E+00,3.362E-01
12.8500,38.008,6.973E+00,3.370E-01
12.8667,37.942,6.988E+00,3.378E-01
12.8833,37.877,7.005E+00,3.387E-01
12.9000,37.815,7.021E+00,3.395E-01
12.9167,37.752,7.036E+00,3.403E-01
12.9333,37.690,7.052E+00,3.412E-01
12.9500,37.629,7.066E+00,3.419E-01
12.9667,37.569,7.081E+00,3.427E-01
12.9833,37.509,7.096E+00,3.435E-01
13.0000,37.452,7.110E+00,3.442E-01
13.0167,37.395,7.124E+00,3.450E-01
13.0333,37.338,7.138E+00,3.457E-01
13.0500,37.283,7.150E+00,3.463E-01
13.0667,37.228,7.166E+00,3.472E-01
13.0833,37.175,7.179E+00,3.478E-01
13.1000,37.122,7.192E+00,3.485E-01
13.1167,37.071,7.204E+00,3.492E-01
13.1333,37.020,7.217E+00,3.499E-01
13.1500,36.970,7.229E+00,3.505E-01
13.1667,36.921,7.241E+00,3.511E-01
13.1833,36.874,7.252E+00,3.517E-01
13.2000,36.827,7.264E+00,3.523E-01
13.2167,36.781,7.276E+00,3.530E-01
13.2333,36.736,7.287E+00,3.535E-01
13.2500,36.692,7.298E+00,3.541E-01
13.2667,36.650,7.308E+00,3.547E-01
13.2833,36.607,7.318E+00,3.552E-01
13.3000,36.566,7.328E+00,3.557E-01
13.3167,36.526,7.338E+00,3.563E-01
13.3333,36.487,7.346E+00,3.567E-01
13.3500,36.449,7.357E+00,3.573E-01
13.3667,36.413,7.366E+00,3.577E-01
13.3833,36.376,7.375E+00,3.582E-01
13.4000,36.341,7.384E+00,3.587E-01
13.4167,36.307,7.391E+00,3.591E-01
13.4333,36.274,7.400E+00,3.595E-01
13.4500,36.242,7.408E+00,3.600E-01
13.4667,36.212,7.416E+00,3.603E-01
13.4833,36.182,7.423E+00,3.607E-01
13.5000,36.153,7.430E+00,3.611E-01
13.5167,36.125,7.437E+00,3.615E-01
13.5333,36.098,7.444E+00,3.618E-01
13.5500,36.073,7.450E+00,3.621E-01
13.5667,36.048,7.456E+00,3.625E-01
13.5833,36.024,7.462E+00,3.628E-01
13.6000,36.002,7.468E+00,3.631E-01
13.6167,35.980,7.473E+00,3.634E-01
13.6333,35.959,7.477E+00,3.636E-01
13.6500,35.941,7.479E+00,3.636E-01
13.6667,35.922,7.486E+00,3.640E-01
13.6833,35.904,7.491E+00,3.643E-01
13.7000,35.888,7.495E+00,3.645E-01
13.7167,35.873,7.499E+00,3.647E-01
13.7333,35.858,7.503E+00,3.649E-01
13.7500,35.846,7.506E+00,3.651E-01
13.7667,35.834,7.509E+00,3.652E-01
13.7833,35.822,7.512E+00,3.654E-01
13.8000,35.812,7.514E+00,3.655E-01
13.8167,35.803,7.516E+00,3.656E-01
13.8333,35.796,7.518E+00,3.657E-01
13.8500,35.789,7.520E+00,3.658E-01
13.8667,35.783,7.521E+00,3.659E-01
13.8833,35.779,7.522E+00,3.660E-01
13.9000,35.775,7.523E+00,3.660E-01
13.9167,35.772,7.524E+00,3.660E-01
13.9333,35.772,7.524E+00,3.660E-01
13.9500,35.771,7.524E+00,3.661E-01
13.9667,35.772,7.524E+00,3.660E-01
13.9833,35.773,7.524E+00,3.660E-01
14.0000,35.776,7.523E+00,3.660E-01
14.0167,35.781,7.522E+00,3.659E-01
14.0333,35.786,7.521E+00,3.659E-01
14.0500,35.791,7.519E+00,3.658E-01
14.0667,35.798,7.517E+00,3.657E-01
14.0833,35.806,7.516E+00,3.656E-01
14.1000,35.815,7.513E+00,3.655E-01
14.1167,35.827,7.510E+00,3.653E-01
14.1333,35.838,7.508E+00,3.652E-01
14.1500,35.850,7.505E+00,3.650E-01
14.1667,35.863,7.501E+00,3.649E-01
14.1833,35.878,7.498E+00,3.647E-01
14.2000,35.893,7.494E+00,3.645E-01
14.2167,35.911,7.490E+00,3.642E-01
14.2333,35.928,7.484E+00,3.639E-01
